date,open,high,low,close,volume,dividends,stock_splits
2024-04-25,108.60818251517595,112.2724745510061,107.31723467600705,110.80278778076172,18342800,0.0,0.0
2024-04-26,111.21986289411564,114.25854600950068,110.82264758281484,114.04007720947266,20630700,0.0,0.0
2024-04-29,113.0172511650374,113.9507059958528,111.32909558819216,113.56342315673828,14419100,0.0,0.0
2024-04-30,113.38466754196634,115.47003825654376,112.14337454802128,112.17316436767578,14845600,0.0,0.0
2024-05-01,109.75017824882568,112.9378259119416,107.9925103789674,108.9358901977539,16686200,0.0,0.0
2024-05-02,110.96165979072684,111.6269985850218,108.66775279131387,111.54755401611328,15439200,0.0,0.0
2024-05-03,114.22875758638088,114.6756276581632,112.65976125445997,113.90105438232422,15564400,0.0,0.0
2024-05-06,118.94565999301044,120.52458863892495,117.19791731629884,119.29322052001952,22538700,0.0,0.0
2024-05-07,119.31310119088118,120.56432682942943,118.34985647734614,118.37964630126952,12508300,0.0,0.0
2024-05-08,117.47598448541969,119.63086753404376,117.39653990704826,118.48887634277344,10867900,0.0,0.0
2024-05-09,118.48887167077233,118.7967099295086,116.6219696101674,116.98938751220705,11524800,0.0,0.0
2024-05-10,119.20384671055088,121.00123649625164,118.34983654606022,120.3954849243164,13922400,0.0,0.0
2024-05-13,122.0737221462423,123.24550307058064,120.8026392946722,122.14323425292967,16643200,0.0,0.0
2024-05-14,122.13331316269688,124.16903695368474,120.8225079028968,123.94063568115234,13887700,0.0,0.0
2024-05-15,125.35073492570328,127.05874771984372,124.56623684505826,126.9197235107422,14265100,0.0,0.0
2024-05-16,127.03891357635923,129.22359418871972,126.1650458771666,126.99919128417967,15874700,0.0,0.0
2024-05-17,127.46591307199732,128.13124438981512,123.99029221167758,124.41729736328124,13774700,0.0,0.0
2024-05-20,126.2444633332175,130.10737420469812,125.75787858781946,128.1014404296875,19123200,0.0,0.0
2024-05-21,123.33487597627784,127.9227054507636,122.42128609823172,126.61189270019533,15717800,0.0,0.0
2024-05-22,126.89987478368158,126.97931935892667,124.36763387556876,125.400390625,11190100,0.0,0.0
2024-05-23,130.85215422571346,131.03089315420382,123.79167865278312,125.39045715332033,20747400,0.0,0.0
2024-05-24,126.92966983538668,129.49169309446825,125.71816652986064,128.58804321289062,14048900,0.0,0.0
2024-05-28,130.84221513081224,132.371496686205,128.36956902044213,131.74588012695312,14143000,0.0,0.0
2024-05-29,129.0944712460892,132.17288392911226,128.99516174566818,130.66346740722656,11242500,0.0,0.0
2024-05-30,129.39238657017103,130.75283886219407,124.8244222261118,125.41031646728516,12639700,0.0,0.0
2024-05-31,125.46989793543332,126.43314253874682,120.1670977487918,124.12930297851562,24153800,0.0,0.0
2024-06-03,127.23752222342785,127.94256827120228,124.27827591964042,127.27723693847656,16134300,0.0,0.0
2024-06-04,126.46293470942112,126.96938439633564,124.54637793276592,125.75788116455078,12995500,0.0,0.0
2024-06-05,127.90285274130748,132.93753001754686,126.76086149649625,132.77865600585938,22301800,0.0,0.0
2024-06-06,132.9077148255596,133.1957032747534,128.2801710811165,129.1639862060547,15505000,0.0,0.0
2024-06-07,129.3030127323937,131.61676949366944,128.71711093480468,130.02792358398438,12139500,0.0,0.0
2024-06-10,128.80649875860763,134.72497530030807,128.80649875860763,133.8809051513672,14652100,0.0,0.0
2024-06-11,134.37743954008843,134.90374662748496,130.86208882718984,134.12918090820312,14125000,0.0,0.0
2024-06-12,137.54520478248298,140.72292734243035,135.87691407576435,139.7696075439453,16973600,0.0,0.0
2024-06-13,141.79539145415043,143.21543868714255,139.2830153482839,142.14295959472656,16312900,0.0,0.0
2024-06-14,140.81228853608675,141.4974847333988,138.67725536957062,140.37535095214844,14028500,0.0,0.0
2024-06-17,144.56596532829468,147.71388289676904,141.14992420026454,146.80029296875,23909000,0.0,0.0
2024-06-18,150.68305360117952,156.44264131605848,150.45464476681116,152.38113403320312,42192600,0.0,0.0
2024-06-20,155.91633207810017,156.31355494587868,141.91455555584926,143.18563842773438,41285000,0.0,0.0
2024-06-21,136.69118913395604,141.60672189682367,134.75477494229787,138.56802368164062,49893500,0.0,0.0
2024-06-24,141.44783367300997,141.8351165138837,136.92952376114744,138.04171752929688,32410100,0.0,0.0
2024-06-25,139.09431953126764,140.14693344865057,136.79047271756102,140.13699340820312,31160600,0.0,0.0
2024-06-26,142.04363380384632,143.06647317539208,138.5680134064168,141.36837768554688,55490300,0.0,0.0
2024-06-27,134.8441606868426,136.43302209629684,130.1669762402397,131.3089599609375,68172700,0.0,0.0
2024-06-28,131.8948381875337,134.47671857334927,129.83924967662225,130.6138153076172,38140600,0.0,0.0
2024-07-01,129.59101283805694,131.16000929455012,126.38350780744123,130.60391235351562,24749000,0.0,0.0
2024-07-02,129.00511764078402,131.78561731674492,128.518525272927,131.66644287109375,20776000,0.0,0.0
2024-07-03,131.73596193132823,135.8669891357422,131.50755308388176,135.8669891357422,14507100,0.0,0.0
2024-07-05,135.86695931631274,136.1747975229122,129.99812300484925,130.68331909179688,30104600,0.0,0.0
2024-07-08,130.48952119078996,132.45746009528338,129.29684059657845,129.8931884765625,20500700,0.115,0.0
2024-07-09,130.94670494977478,134.3856156008944,130.08201429384997,130.34042358398438,21850900,0.0,0.0
2024-07-10,132.28847690382335,135.66774056590316,131.8909066598554,135.55841064453125,22460200,0.0,0.0
2024-07-11,135.52860392532028,135.59816924411666,129.27696117852122,129.43597412109375,25401500,0.0,0.0
2024-07-12,130.94671986314964,133.61037261571752,129.92300098943446,132.73574829101562,20726900,0.0,0.0
2024-07-15,133.09354056005904,134.52476315807706,129.2371924671499,130.0720672607422,20416000,0.0,0.0
2024-07-16,129.62482057032707,130.1714702245073,126.46420889451625,126.71268463134766,21312600,0.0,0.0
2024-07-17,121.83263895618262,122.2798923001835,118.5030652206244,118.77141571044922,31414100,0.0,0.0
2024-07-18,119.76530909994187,120.89835789060572,113.39438735783162,116.73390197753906,30404900,0.0,0.0
2024-07-19,115.97854678334328,116.49537302152372,113.15585824025192,113.56336212158205,18038900,0.0,0.0
