date,close,high,low,open,volume,dividends,stock_splits,capital_gains
2025-12-23,,,,,0,0.267,0.0,0.0
2025-12-24,42.279998779296875,42.5099983215332,41.7599983215332,41.959999084472656,363500,0.0,0.0,0.0
2025-12-26,42.2400016784668,42.279998779296875,41.91999816894531,42.099998474121094,814200,0.0,0.0,0.0
2025-12-29,42.099998474121094,42.29999923706055,41.630001068115234,41.720001220703125,417300,0.0,0.0,0.0
2025-12-30,42.16999816894531,42.529998779296875,41.84000015258789,41.84000015258789,381000,0.0,0.0,0.0
2025-12-31,41.45000076293945,42.2130012512207,41.40999984741211,42.130001068115234,471400,0.0,0.0,0.0
2026-01-02,39.619998931884766,41.60499954223633,39.13999938964844,41.60499954223633,1378500,0.0,0.0,0.0
2026-01-05,39.599998474121094,40.099998474121094,39.040000915527344,39.75,1270600,0.0,0.0,0.0
2026-01-06,40.47999954223633,40.540000915527344,39.08000183105469,39.70000076293945,1219000,0.0,0.0,0.0
2026-01-07,41.349998474121094,42.380001068115234,40.41999816894531,40.7599983215332,979900,0.0,0.0,0.0
2026-01-08,40.38999938964844,41.15999984741211,40.055999755859375,41.029998779296875,538400,0.0,0.0,0.0
2026-01-09,40.58000183105469,40.66999816894531,39.40999984741211,39.77000045776367,803800,0.0,0.0,0.0
2026-01-12,40.22999954223633,40.849998474121094,40.0099983215332,40.13999938964844,538200,0.0,0.0,0.0
2026-01-13,39.11000061035156,39.959999084472656,38.34000015258789,39.83000183105469,1461900,0.0,0.0,0.0
2026-01-14,37.27000045776367,38.70000076293945,36.880001068115234,38.43000030517578,1666800,0.0,0.0,0.0
2026-01-15,36.81999969482422,38.0,36.66999816894531,37.93000030517578,1530000,0.0,0.0,0.0
2026-01-16,37.25,37.777000427246094,36.7400016784668,36.90999984741211,1259200,0.0,0.0,0.0
2026-01-20,36.400001525878906,36.7400016784668,35.534000396728516,35.900001525878906,1136800,0.0,0.0,0.0
2026-01-21,34.709999084472656,36.05500030517578,33.849998474121094,36.040000915527344,2948400,0.0,0.0,0.0
2026-01-22,35.810001373291016,36.04999923706055,34.81999969482422,35.33000183105469,1520300,0.0,0.0,0.0
2026-01-23,38.119998931884766,38.91999816894531,35.72999954223633,35.8849983215332,2392700,0.0,0.0,0.0
2026-01-26,38.86000061035156,39.439998626708984,37.470001220703125,38.0099983215332,1839300,0.0,0.0,0.0
2026-01-27,40.4900016784668,40.849998474121094,39.34000015258789,39.349998474121094,1314800,0.0,0.0,0.0
2026-01-28,40.68000030517578,40.95899963378906,40.060001373291016,40.95000076293945,4091300,0.0,0.0,0.0
2026-01-29,32.45000076293945,34.0099983215332,30.43000030517578,33.595001220703125,18260700,0.0,0.0,0.0
2026-01-30,32.06999969482422,33.380001068115234,31.450000762939453,33.31999969482422,6309500,0.0,0.0,0.0
2026-02-02,30.969999313354492,32.04999923706055,30.809999465942383,32.0,3160400,0.0,0.0,0.0
2026-02-03,29.200000762939453,30.780000686645508,28.80900001525879,30.780000686645508,5115700,0.0,0.0,0.0
2026-02-04,29.610000610351562,30.25,28.90999984741211,29.100000381469727,4426200,0.0,0.0,0.0
2026-02-05,26.68000030517578,28.7549991607666,26.5,28.674999237060547,5911100,0.0,0.0,0.0
2026-02-06,27.6299991607666,27.7450008392334,26.559999465942383,27.40999984741211,5341000,0.0,0.0,0.0
2026-02-09,29.350000381469727,29.540000915527344,27.6299991607666,28.149999618530273,4271400,0.0,0.0,0.0
2026-02-10,29.34000015258789,30.790000915527344,29.239999771118164,30.170000076293945,3693400,0.0,0.0,0.0
2026-02-11,28.020000457763672,29.770000457763672,27.56999969482422,29.739999771118164,4295400,0.0,0.0,0.0
2026-02-12,27.700000762939453,28.280000686645508,27.149999618530273,28.1200008392334,3466100,0.0,0.0,0.0
2026-02-13,27.559999465942383,28.149999618530273,27.138999938964844,27.8700008392334,2270100,0.0,0.0,0.0
2026-02-17,26.969999313354492,27.450000762939453,26.6299991607666,27.290000915527344,2338000,0.0,0.0,0.0
2026-02-18,27.31999969482422,27.72800064086914,26.895000457763672,27.1299991607666,2091100,0.0,0.0,0.0
2026-02-19,27.280000686645508,28.09000015258789,27.05500030517578,27.600000381469727,2331600,0.0,0.0,0.0
2026-02-20,27.100000381469727,27.489999771118164,26.809999465942383,26.979999542236328,2676600,0.0,0.0,0.0
2026-02-23,25.3700008392334,26.81999969482422,25.170000076293945,26.81999969482422,4263900,0.0,0.0,0.0
2026-02-24,25.959999084472656,25.979999542236328,24.979999542236328,25.28499984741211,2979000,0.0,0.0,0.0
2026-02-25,27.469999313354492,27.549999237060547,26.100000381469727,26.1200008392334,4651500,0.0,0.0,0.0
2026-02-26,27.6299991607666,28.40999984741211,27.229999542236328,28.010000228881836,4423100,0.0,0.0,0.0
2026-02-27,26.3799991607666,26.924999237060547,25.979999542236328,26.049999237060547,3634700,0.0,0.0,0.0
2026-03-02,27.110000610351562,27.5,26.079999923706055,26.25,3910600,0.0,0.0,0.0
2026-03-03,27.850000381469727,28.239999771118164,26.34000015258789,26.3799991607666,6467100,0.0,0.0,0.0
2026-03-04,28.0,28.844999313354492,27.399999618530273,27.489999771118164,5694000,0.0,0.0,0.0
2026-03-05,28.790000915527344,28.915000915527344,27.90999984741211,27.940000534057617,4779300,0.0,0.0,0.0
2026-03-06,28.5,29.100000381469727,28.459999084472656,28.530000686645508,3962500,0.0,0.0,0.0
