date,close,high,low,open,volume,dividends,stock_splits,capital_gains
2025-12-23,,,,,0,0.17,0.0,0.0
2025-12-24,30.610000610351562,30.639999389648438,29.979999542236328,30.25,283200,0.0,0.0,0.0
2025-12-26,31.1200008392334,31.26799964904785,30.3700008392334,30.489999771118164,500500,0.0,0.0,0.0
2025-12-29,30.950000762939453,31.450000762939453,30.59000015258789,30.770000457763672,382300,0.0,0.0,0.0
2025-12-30,30.639999389648438,30.799999237060547,30.399999618530273,30.5,336800,0.0,0.0,0.0
2025-12-31,30.649999618530273,30.979999542236328,30.290000915527344,30.510000228881836,270100,0.0,0.0,0.0
2026-01-02,28.84000015258789,30.850000381469727,28.709999084472656,30.850000381469727,882400,0.0,0.0,0.0
2026-01-05,29.110000610351562,29.809999465942383,28.709999084472656,28.799999237060547,804900,0.0,0.0,0.0
2026-01-06,28.520000457763672,29.15999984741211,28.0,29.1200008392334,1032400,0.0,0.0,0.0
2026-01-07,28.600000381469727,29.649999618530273,28.190000534057617,29.190000534057617,967000,0.0,0.0,0.0
2026-01-08,28.479999542236328,28.920000076293945,27.860000610351562,28.450000762939453,715800,0.0,0.0,0.0
2026-01-09,27.760000228881836,28.100000381469727,27.054000854492188,28.100000381469727,1074700,0.0,0.0,0.0
2026-01-12,27.780000686645508,28.309999465942383,27.700000762939453,27.950000762939453,713200,0.0,0.0,0.0
2026-01-13,28.329999923706055,28.81999969482422,27.520000457763672,27.770000457763672,1133700,0.0,0.0,0.0
2026-01-14,27.15999984741211,29.079999923706055,26.84000015258789,28.8799991607666,1491200,0.0,0.0,0.0
2026-01-15,26.899999618530273,27.979999542236328,26.719999313354492,27.40999984741211,952300,0.0,0.0,0.0
2026-01-16,26.829999923706055,27.1200008392334,26.690000534057617,27.040000915527344,986000,0.0,0.0,0.0
2026-01-20,26.389999389648438,27.959999084472656,26.225000381469727,27.420000076293945,3722000,0.0,0.0,0.0
2026-01-21,25.18000030517578,25.270000457763672,23.149999618530273,23.479999542236328,4021200,0.0,0.0,0.0
2026-01-22,24.1299991607666,24.959999084472656,23.780000686645508,24.959999084472656,1760900,0.0,0.0,0.0
2026-01-23,25.540000915527344,25.670000076293945,23.920000076293945,24.030000686645508,1762100,0.0,0.0,0.0
2026-01-26,25.299999237060547,26.010000228881836,25.1200008392334,26.0,1634600,0.0,0.0,0.0
2026-01-27,25.239999771118164,25.239999771118164,24.239999771118164,25.110000610351562,1213100,0.0,0.0,0.0
2026-01-28,24.68000030517578,25.729999542236328,24.489999771118164,25.2549991607666,861100,0.0,0.0,0.0
2026-01-29,23.770000457763672,24.520000457763672,23.329999923706055,24.489999771118164,922200,0.0,0.0,0.0
2026-01-30,23.950000762939453,24.280000686645508,23.559999465942383,23.770000457763672,571300,0.0,0.0,0.0
2026-02-02,23.59000015258789,24.969999313354492,23.516000747680664,23.889999389648438,660300,0.0,0.0,0.0
2026-02-03,21.959999084472656,23.34000015258789,21.75,23.219999313354492,1078500,0.0,0.0,0.0
2026-02-04,22.059999465942383,22.729999542236328,21.53499984741211,21.899999618530273,1068200,0.0,0.0,0.0
2026-02-05,22.3799991607666,23.735000610351562,22.22100067138672,22.690000534057617,1139500,0.0,0.0,0.0
2026-02-06,23.15999984741211,23.260000228881836,22.30500030517578,22.5,981200,0.0,0.0,0.0
2026-02-09,22.719999313354492,23.100000381469727,21.84000015258789,23.100000381469727,999000,0.0,0.0,0.0
2026-02-10,23.149999618530273,24.5,23.059999465942383,23.40999984741211,1187300,0.0,0.0,0.0
2026-02-11,21.690000534057617,23.270000457763672,21.600000381469727,23.0,1136800,0.0,0.0,0.0
2026-02-12,19.649999618530273,21.3700008392334,19.299999237060547,21.3700008392334,2084300,0.0,0.0,0.0
2026-02-13,20.1299991607666,20.280000686645508,19.399999618530273,19.68000030517578,617400,0.0,0.0,0.0
2026-02-17,20.18000030517578,20.6200008392334,19.299999237060547,20.0049991607666,772500,0.0,0.0,0.0
2026-02-18,20.65999984741211,20.84000015258789,19.829999923706055,20.270000457763672,607000,0.0,0.0,0.0
2026-02-19,20.170000076293945,21.04199981689453,19.969999313354492,20.5,596000,0.0,0.0,0.0
2026-02-20,21.0,21.100000381469727,19.829999923706055,19.93000030517578,559300,0.0,0.0,0.0
2026-02-23,19.59000015258789,20.540000915527344,19.06999969482422,20.540000915527344,1066800,0.0,0.0,0.0
2026-02-24,20.639999389648438,20.649999618530273,19.18000030517578,19.40999984741211,792500,0.0,0.0,0.0
2026-02-25,23.1200008392334,23.299999237060547,21.299999237060547,21.3700008392334,1347700,0.0,0.0,0.0
2026-02-26,24.1200008392334,24.635000228881836,23.149999618530273,23.280000686645508,2444100,0.0,0.0,0.0
2026-02-27,30.799999237060547,31.010000228881836,27.540000915527344,29.579999923706055,5619600,0.0,0.0,0.0
2026-03-02,31.25,31.889999389648438,30.040000915527344,30.040000915527344,2195500,0.0,0.0,0.0
2026-03-03,31.709999084472656,32.150001525878906,30.142000198364258,30.520000457763672,1624600,0.0,0.0,0.0
2026-03-04,32.220001220703125,32.95000076293945,31.270000457763672,31.274999618530273,1410200,0.0,0.0,0.0
2026-03-05,32.59000015258789,33.2599983215332,31.950000762939453,32.08000183105469,745600,0.0,0.0,0.0
2026-03-06,32.5099983215332,33.01100158691406,31.450000762939453,32.79999923706055,681200,0.0,0.0,0.0
2026-03-09,31.969999313354492,32.349998474121094,30.864999771118164,31.6299991607666,821100,0.0,0.0,0.0
2026-03-10,31.06999969482422,31.93000030517578,30.68000030517578,31.75,515100,0.0,0.0,0.0
2026-03-11,29.739999771118164,31.75,29.65999984741211,31.360000610351562,574600,0.0,0.0,0.0
2026-03-12,29.3799991607666,30.100000381469727,29.170000076293945,29.690000534057617,272600,0.0,0.0,0.0
2026-03-13,30.030000686645508,30.239999771118164,29.360000610351562,29.559999465942383,466100,0.0,0.0,0.0
2026-03-16,29.969999313354492,30.489999771118164,29.459999084472656,30.135000228881836,288600,0.0,0.0,0.0
2026-03-17,29.459999084472656,30.635000228881836,29.200000762939453,29.8799991607666,373800,0.0,0.0,0.0
2026-03-18,29.610000610351562,29.969999313354492,28.899999618530273,29.350000381469727,198300,0.0,0.0,0.0
2026-03-19,27.790000915527344,30.200000762939453,27.16699981689453,29.329999923706055,413300,0.0,0.0,0.0
2026-03-20,27.770000457763672,27.829999923706055,27.08099937438965,27.420000076293945,304500,0.0,0.0,0.0
