date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d
2025-12-31,117.9000015258789,118.30000305175781,117.9000015258789,118.1500015258789,1091849,0.0,0.0,0.0,50.0,50.0
2026-01-02,117.8499984741211,118.25,117.5,118.19999694824219,5667123,0.0,0.0,0.0,50.0,50.0
2026-01-05,116.44999694824219,116.5,116.0999984741211,116.4000015258789,4589731,0.0,0.0,0.0,50.0,50.0
2026-01-06,116.80000305175781,117.0999984741211,116.80000305175781,117.05000305175781,1738322,0.0,0.0,0.0,50.0,50.0
2026-01-07,117.4000015258789,117.5,117.0,117.0999984741211,1842869,0.0,0.0,0.0,50.0,50.0
2026-01-08,118.30000305175781,118.75,118.1500015258789,118.55000305175781,1952961,0.0,0.0,0.0,50.0,50.0
2026-01-09,117.5,117.6500015258789,117.30000305175781,117.5999984741211,1497613,0.0,0.0,0.0,50.0,50.0
2026-01-12,117.4000015258789,117.55000305175781,117.19999694824219,117.3499984741211,2929587,0.0,0.0,0.0,50.0,50.0
2026-01-13,117.8499984741211,118.1500015258789,117.75,118.0999984741211,7912131,0.0,0.0,0.0,58.49,52.83
2026-01-14,118.30000305175781,118.75,118.30000305175781,118.4000015258789,3337520,0.0,0.0,0.0,67.92,57.86
2026-01-15,116.1500015258789,116.3499984741211,116.0,116.3499984741211,2908765,0.0,0.0,0.0,49.53,55.08
2026-01-16,116.5,116.55000305175781,116.30000305175781,116.5,2483059,0.0,0.0,0.0,39.08,49.75
2026-01-19,115.19999694824219,115.19999694824219,114.0999984741211,114.25,4291357,0.0,0.0,0.0,27.13,42.21
2026-01-20,114.25,114.9000015258789,114.25,114.55000305175781,1897674,0.0,0.0,0.0,21.31,35.24
2026-01-21,112.5,112.80000305175781,112.44999694824219,112.69999694824219,4346762,0.0,0.0,0.0,15.53,28.67
2026-01-22,113.0,113.44999694824219,113.0,113.19999694824219,2013148,0.0,0.0,0.0,14.32,23.89
2026-01-23,113.9000015258789,114.25,113.9000015258789,114.0999984741211,1504712,0.0,0.0,0.0,18.28,22.02
2026-01-26,114.1500015258789,114.1500015258789,113.55000305175781,113.80000305175781,3813240,0.0,0.0,0.0,19.33,21.12
2026-01-27,115.5999984741211,116.3499984741211,115.5999984741211,116.25,2406997,0.0,0.0,0.0,43.78,28.67
2026-01-28,116.3499984741211,117.0999984741211,116.3499984741211,116.80000305175781,4099977,0.0,0.0,0.0,60.37,39.24
2026-01-29,115.6500015258789,115.69999694824219,115.19999694824219,115.69999694824219,2263769,0.0,0.0,0.0,63.54,47.34
2026-01-30,114.30000305175781,114.30000305175781,113.4000015258789,114.0999984741211,1904970,0.0,0.0,0.0,54.19,49.62
2026-02-02,113.8499984741211,114.0,112.30000305175781,112.5999984741211,6979357,0.0,0.0,0.0,38.21,45.82
2026-02-03,115.1500015258789,115.44999694824219,115.0999984741211,115.44999694824219,1811693,0.0,0.0,0.0,47.35,46.33
2026-02-04,112.5999984741211,113.0,112.55000305175781,112.8499984741211,1613630,0.0,0.0,0.0,35.39,42.68
2026-02-05,111.0999984741211,111.3499984741211,110.30000305175781,110.75,3441683,0.0,0.0,0.0,25.8,37.05
2026-02-06,106.1500015258789,106.69999694824219,105.5,106.30000305175781,6160595,0.0,0.0,0.0,19.5,31.2
2026-02-09,109.80000305175781,110.05000305175781,109.6500015258789,109.69999694824219,2095367,0.0,0.0,0.0,25.07,29.16
2026-02-10,110.8499984741211,111.0,110.55000305175781,110.80000305175781,1887398,0.0,0.0,0.0,34.03,30.78
2026-02-11,110.55000305175781,110.5999984741211,110.1500015258789,110.19999694824219,1865001,0.0,0.0,0.0,38.43,33.33
2026-02-23,109.0,109.0,106.19999694824219,106.4000015258789,8656471,0.0,0.0,0.0,28.64,31.77
2026-02-24,105.0,105.4000015258789,105.0,105.25,3645755,0.0,0.0,0.0,19.89,27.81
2026-02-25,105.4000015258789,105.5,105.05000305175781,105.0999984741211,3435884,0.0,0.0,0.0,13.68,23.1
2026-02-26,106.9000015258789,106.94999694824219,106.5999984741211,106.80000305175781,2836128,0.0,0.0,0.0,18.57,21.59
2026-03-02,105.94999694824219,106.75,105.94999694824219,106.3499984741211,2922485,0.0,0.0,0.0,19.88,21.02
2026-03-03,108.1500015258789,108.30000305175781,107.8499984741211,108.05000305175781,2823429,0.0,0.0,0.0,30.2,24.08
2026-03-04,109.0999984741211,109.44999694824219,108.19999694824219,108.3499984741211,4695944,0.0,0.0,0.0,38.74,28.96
2026-03-05,111.75,111.9000015258789,111.1500015258789,111.30000305175781,2947020,0.0,0.0,0.0,56.26,38.06
2026-03-06,112.1500015258789,112.5999984741211,112.0999984741211,112.5,2917793,0.0,0.0,0.0,70.4,48.84
2026-03-09,109.0,109.0,107.75,108.55000305175781,6758965,0.0,0.0,0.0,62.51,53.4
2026-03-10,112.25,112.5,111.8499984741211,112.25,2302845,0.0,0.0,0.0,73.46,60.08
2026-03-11,112.5999984741211,112.9000015258789,112.5999984741211,112.75,1342238,0.0,0.0,0.0,81.59,67.25
2026-03-12,111.9000015258789,111.94999694824219,111.25,111.5999984741211,988091,0.0,0.0,0.0,81.49,72.0
2026-03-13,112.0,112.0,111.5999984741211,111.80000305175781,1895616,0.0,0.0,0.0,80.54,74.84
2026-03-16,110.94999694824219,111.30000305175781,110.5999984741211,111.25,1149804,0.0,0.0,0.0,76.35,75.35
2026-03-17,110.69999694824219,110.69999694824219,110.19999694824219,110.4000015258789,842168,0.0,0.0,0.0,68.05,72.91
2026-03-18,111.0999984741211,111.4000015258789,111.05000305175781,111.3499984741211,1204616,0.0,0.0,0.0,68.67,71.5
2026-03-19,109.94999694824219,110.19999694824219,109.8499984741211,109.9000015258789,1160469,0.0,0.0,0.0,59.69,67.56
2026-03-20,109.5999984741211,109.5999984741211,109.25,109.25,1015262,0.0,0.0,0.0,39.8,58.31
2026-03-23,106.5,107.19999694824219,106.5,106.6500015258789,2195676,0.0,0.0,0.0,27.31,47.98
2026-03-24,108.19999694824219,108.25,107.55000305175781,107.8499984741211,4408580,0.0,0.0,0.0,26.39,40.78
2026-03-25,107.55000305175781,107.8499984741211,107.19999694824219,107.5999984741211,2157988,0.0,0.0,0.0,24.26,35.27
2026-03-26,107.1500015258789,107.1500015258789,106.44999694824219,106.5999984741211,2067990,0.0,0.0,0.0,17.18,29.24
2026-03-27,104.1500015258789,104.5999984741211,103.94999694824219,104.55000305175781,2212066,0.0,0.0,0.0,14.14,24.21
2026-03-30,100.9000015258789,101.75,100.6500015258789,101.69999694824219,2590428,0.0,0.0,0.0,12.68,20.37
2026-03-31,100.80000305175781,101.5999984741211,100.5,101.1500015258789,2939088,0.0,0.0,0.0,10.69,17.14
