date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2026-01-26,27.322105207080444,27.416842409882396,27.284209603174922,27.341053009033203,2479573,0.0,0.0,0.0
2026-01-27,27.359999105616133,27.710526215196364,27.359999105616133,27.653684616088867,2461292,0.0,0.0,0.0
2026-01-28,27.767369308631974,28.00421142578125,27.767369308631974,28.00421142578125,2734079,0.0,0.0,0.0
2026-01-29,28.042105725826627,28.051579626906793,27.663158717429347,27.79578971862793,3351384,0.0,0.0,0.0
2026-01-30,27.549474824076263,27.549474824076263,27.246317205114742,27.378948211669922,4473779,0.0,0.0,0.0
2026-02-02,27.047368707082466,27.047368707082466,26.725263287353712,26.914737701416016,5006517,0.0,0.0,0.0
2026-02-03,27.53052621028484,27.60631561279297,27.322105805127958,27.60631561279297,10403671,0.0,0.0,0.0
2026-02-04,27.473684110792973,27.729474017219477,27.42631641269704,27.653684616088867,34631391,0.0,0.0,0.0
2026-02-05,27.47368552827747,27.511581134278902,27.14210620361277,27.20842170715332,35995234,0.0,0.0,0.0
2026-02-06,26.962104395816198,27.255789907355055,26.72526229055304,27.161052703857422,15814102,0.0,0.0,0.0
2026-02-09,27.881053321558888,28.01368432418539,27.824211721427798,27.928421020507812,13823668,0.0,0.0,0.0
2026-02-10,28.193685419560424,28.525264739990234,28.193685419560424,28.525264739990234,14883112,0.0,0.0,0.0
2026-02-11,28.638948514804646,29.1505283577394,28.629474613236006,29.112632751464844,22494456,0.0,0.0,0.0
2026-02-23,29.463159270104043,29.662105778030146,29.141053851303937,29.169475555419922,53672262,0.0,0.0,0.0
2026-02-24,29.41578944006763,30.022106472480484,29.406317345761625,29.993684768676758,32135060,0.0,0.0,0.0
2026-02-25,30.438949373064194,30.922105693432393,30.372633870541573,30.78000259399414,56601181,0.0,0.0,0.0
2026-02-26,30.809999465942383,30.940000534057617,30.540000915527344,30.770000457763672,32516058,1.71,0.0,0.0
2026-03-02,30.0,30.549999237060547,29.979999542236328,30.350000381469727,15194443,0.0,0.0,0.0
2026-03-03,30.299999237060547,30.329999923706055,29.530000686645508,29.549999237060547,22654524,0.0,0.0,0.0
2026-03-04,28.700000762939453,28.799999237060547,28.25,28.270000457763672,19604370,0.0,0.0,0.0
2026-03-05,29.170000076293945,29.489999771118164,28.809999465942383,29.0,10207099,0.0,0.0,0.0
2026-03-06,28.809999465942383,29.18000030517578,28.690000534057617,28.93000030517578,3809785,0.0,0.0,0.0
2026-03-09,27.100000381469727,27.65999984741211,27.049999237060547,27.510000228881836,11465838,0.0,0.0,0.0
2026-03-10,28.459999084472656,28.6200008392334,27.950000762939453,28.25,4811845,0.0,0.0,0.0
2026-03-11,28.729999542236328,29.459999084472656,28.690000534057617,29.34000015258789,12919482,0.0,0.0,0.0
2026-03-12,29.1200008392334,29.31999969482422,28.8700008392334,28.979999542236328,3786747,0.0,0.0,0.0
2026-03-13,28.56999969482422,28.989999771118164,28.469999313354492,28.799999237060547,6530940,0.0,0.0,0.0
2026-03-16,28.979999542236328,29.049999237060547,28.600000381469727,28.739999771118164,5296221,0.0,0.0,0.0
2026-03-17,29.0,29.209999084472656,28.989999771118164,29.079999923706055,3420411,0.0,0.0,0.0
2026-03-18,29.479999542236328,29.59000015258789,29.389999389648438,29.5,4641301,0.0,0.0,0.0
2026-03-19,29.200000762939453,29.229999542236328,29.0,29.030000686645508,3069402,0.0,0.0,0.0
2026-03-20,29.170000076293945,29.200000762939453,28.719999313354492,28.93000030517578,2882519,0.0,0.0,0.0
2026-03-23,28.059999465942383,28.399999618530273,28.040000915527344,28.290000915527344,4160465,0.0,0.0,0.0
2026-03-24,28.690000534057617,28.760000228881836,28.040000915527344,28.299999237060547,2629761,0.0,0.0,0.0
2026-03-25,29.010000228881836,29.239999771118164,29.010000228881836,29.110000610351562,3020873,0.0,0.0,0.0
2026-03-26,29.290000915527344,29.420000076293945,28.989999771118164,28.989999771118164,2636348,0.0,0.0,0.0
2026-03-27,28.549999237060547,28.84000015258789,28.40999984741211,28.81999969482422,3419400,0.0,0.0,0.0
2026-03-30,28.209999084472656,28.360000610351562,28.020000457763672,28.270000457763672,4693743,0.0,0.0,0.0
2026-03-31,28.100000381469727,28.1299991607666,27.5,27.520000457763672,6247018,0.0,0.0,0.0
2026-04-01,28.540000915527344,28.809999465942383,28.43000030517578,28.75,4801134,0.0,0.0,0.0
2026-04-02,28.950000762939453,29.049999237060547,28.170000076293945,28.209999084472656,2494746,0.0,0.0,0.0
2026-04-07,28.649999618530273,28.809999465942383,28.489999771118164,28.639999389648438,2224234,0.0,0.0,0.0
2026-04-08,29.549999237060547,30.229999542236328,29.5,30.200000762939453,17585986,0.0,0.0,0.0
2026-04-09,30.260000228881836,30.309999465942383,30.139999389648438,30.309999465942383,7088711,0.0,0.0,0.0
2026-04-10,30.690000534057617,30.90999984741211,30.6200008392334,30.899999618530273,14848273,0.0,0.0,0.0
2026-04-13,30.799999237060547,31.030000686645508,30.780000686645508,30.90999984741211,7409972,0.0,0.0,0.0
2026-04-14,31.5,31.780000686645508,31.399999618530273,31.709999084472656,13174125,0.0,0.0,0.0
2026-04-15,32.119998931884766,32.599998474121094,32.119998931884766,32.25,16875630,0.0,0.0,0.0
2026-04-16,32.5,32.720001220703125,32.380001068115234,32.720001220703125,11519251,0.0,0.0,0.0
2026-04-17,32.59000015258789,32.689998626708984,32.47999954223633,32.5099983215332,5886291,0.0,0.0,0.0
2026-04-20,32.630001068115234,33.029998779296875,32.630001068115234,32.81999969482422,7601401,0.0,0.0,0.0
2026-04-21,33.15999984741211,33.5099983215332,33.06999969482422,33.38999938964844,7758231,0.0,0.0,0.0
2026-04-22,33.45000076293945,33.93000030517578,33.45000076293945,33.79999923706055,4908986,0.0,0.0,0.0
2026-04-23,34.27000045776367,34.75,33.15999984741211,33.72999954223633,8143510,0.0,0.0,0.0
2026-04-24,34.220001220703125,34.93000030517578,34.220001220703125,34.93000030517578,5941529,0.0,0.0,0.0
