date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2025-04-25,17.3799991607666,17.73900032043457,17.3700008392334,17.70400047302246,7000,0.0,0.0,0.0,82.24,69.16,8.7,12.01,15.13
2025-04-28,17.709999084472656,17.759000778198242,17.038999557495117,17.507999420166016,5200,0.0,0.0,0.0,85.83,74.72,4.25,9.46,12.93
2025-04-29,17.299999237060547,17.604000091552734,17.09000015258789,17.263999938964844,8200,0.0,0.0,0.0,85.95,78.46,0.64,6.83,10.66
2025-04-30,16.90999984741211,17.700000762939453,16.895000457763672,17.663999557495117,109300,0.0,0.0,0.0,89.69,82.21,0.9,7.87,12.44
2025-05-01,15.270000457763672,15.279999732971191,14.4399995803833,14.529999732971191,365700,0.0,0.0,0.0,61.07,75.16,-14.2,-11.09,-7.16
2025-05-02,14.979999542236328,15.800000190734863,14.979999542236328,15.46399974822998,131800,0.0,0.0,0.0,50.99,67.1,-6.2,-5.63,-0.92
2025-05-05,15.274999618530272,15.640000343322754,15.260000228881836,15.399999618530272,34100,0.0,0.0,0.0,43.64,59.28,-4.14,-6.27,-1.93
2025-05-06,15.100000381469728,15.571000099182127,14.989999771118164,15.489999771118164,21200,0.0,0.0,0.0,39.64,52.73,-1.4,-5.73,-1.85
2025-05-07,15.755000114440918,16.506999969482422,15.748000144958496,16.479999542236328,27400,0.0,0.0,0.0,46.91,50.79,6.51,-0.06,3.24
2025-05-08,16.670000076293945,17.139999389648438,16.410999298095703,16.621999740600586,33800,0.0,0.0,0.0,53.19,51.59,4.6,1.28,4.18
2025-05-09,16.809999465942383,16.899999618530273,16.579999923706055,16.65999984741211,9800,0.0,0.0,0.0,58.16,53.78,3.28,2.16,3.76
2025-05-12,18.52400016784668,18.52400016784668,17.690000534057617,18.309999465942383,30300,0.0,0.0,0.0,70.36,59.31,9.56,11.73,13.08
2025-05-13,18.39999961853028,18.468000411987305,17.969999313354492,18.1299991607666,24300,0.0,0.0,0.0,77.02,65.21,5.16,10.05,11.11
2025-05-14,18.040000915527344,18.5,17.799999237060547,18.5,22800,0.0,0.0,0.0,84.46,71.63,4.85,11.72,12.34
2025-05-15,17.959999084472656,18.39999961853028,17.930999755859375,18.39999961853028,11100,0.0,0.0,0.0,88.47,77.24,2.22,8.58,10.55
2025-05-16,18.200000762939453,18.39999961853028,18.14999961853028,18.39999961853028,9900,0.0,0.0,0.0,91.14,81.87,0.28,6.73,9.44
2025-05-19,18.0,18.6200008392334,17.799999237060547,18.6200008392334,37300,0.0,0.0,0.0,94.1,85.95,1.14,6.03,9.56
2025-05-20,18.242000579833984,18.59000015258789,18.190000534057617,18.59000015258789,10800,0.0,0.0,0.0,95.61,89.17,0.48,4.02,8.39
2025-05-21,18.530000686645508,19.1200008392334,18.0,18.06999969482422,12000,0.0,0.0,0.0,83.29,87.21,-1.88,0.22,4.69
2025-05-22,17.579999923706055,17.899999618530273,17.110000610351562,17.110000610351562,43700,0.0,0.0,0.0,55.53,76.65,-5.77,-5.36,-0.79
2025-05-23,15.979999542236328,16.809999465942383,15.829999923706056,16.549999237060547,16500,0.0,0.0,0.0,44.31,65.87,-6.96,-8.4,-3.71
2025-05-27,16.920000076293945,17.450000762939453,16.83099937438965,17.329999923706055,22000,0.0,0.0,0.0,44.74,58.83,-1.14,-3.56,0.88
2025-05-28,17.260000228881836,17.350000381469727,17.09000015258789,17.110000610351562,26000,0.0,0.0,0.0,42.8,53.48,-0.72,-4.24,-0.36
2025-05-29,17.490999221801758,17.5310001373291,17.079999923706055,17.219999313354492,26300,0.0,0.0,0.0,42.61,49.86,0.91,-2.93,0.41
2025-05-30,16.829999923706055,16.871000289916992,16.14900016784668,16.549999237060547,8700,0.0,0.0,0.0,35.7,45.14,-2.37,-5.72,-4.06
2025-06-02,16.420000076293945,16.899999618530273,16.420000076293945,16.899999618530273,4300,0.0,0.0,0.0,34.64,41.64,-0.72,-2.9,-2.44
2025-06-03,16.93400001525879,17.450000762939453,16.860000610351562,17.399999618530273,9100,0.0,0.0,0.0,39.0,40.76,2.14,0.68,-0.13
2025-06-04,17.530000686645508,17.549999237060547,17.270000457763672,17.43000030517578,19800,0.0,0.0,0.0,51.77,44.43,1.93,1.53,-0.51
2025-06-05,17.260000228881836,17.791000366210938,17.200000762939453,17.209999084472656,8800,0.0,0.0,0.0,57.97,48.94,0.66,0.76,-1.97
2025-06-06,17.80500030517578,17.89900016784668,17.639999389648438,17.639999389648438,16000,0.0,0.0,0.0,67.05,54.98,1.87,2.95,0.19
2025-06-09,18.200000762939453,19.239999771118164,18.200000762939453,19.11000061035156,53600,0.0,0.0,0.0,76.63,62.19,7.61,9.89,7.79
2025-06-10,19.299999237060547,20.040000915527344,19.06999969482422,19.96999931335449,87200,0.0,0.0,0.0,83.82,69.4,9.29,13.12,12.12
2025-06-11,20.21999931335449,20.709999084472656,19.79899978637696,20.030000686645508,56400,0.0,0.0,0.0,84.24,74.35,6.59,11.61,11.86
2025-06-12,19.86000061035156,19.989999771118164,19.670000076293945,19.989999771118164,24400,0.0,0.0,0.0,83.9,77.53,3.32,9.7,11.17
2025-06-13,19.200000762939453,19.3799991607666,18.809999465942383,18.979999542236328,20100,0.0,0.0,0.0,74.29,76.45,-3.24,2.78,5.38
2025-06-16,19.39999961853028,19.69499969482422,19.100000381469727,19.38999938964844,21500,0.0,0.0,0.0,70.32,74.41,-1.43,3.61,7.36
2025-06-17,19.2509994506836,19.489999771118164,18.76000022888184,18.84000015258789,36100,0.0,0.0,0.0,62.46,70.43,-3.12,-0.1,4.26
2025-06-18,18.82999992370605,19.121000289916992,18.479999542236328,18.545000076293945,27000,0.0,0.0,0.0,51.46,64.1,-3.15,-2.24,2.64
2025-06-20,18.90999984741211,18.90999984741211,17.81999969482422,18.059999465942383,18500,0.0,0.0,0.0,37.08,55.1,-3.75,-5.22,-0.05
2025-06-23,18.09000015258789,18.489999771118164,17.687999725341797,18.405000686645508,19300,0.0,0.0,0.0,32.63,47.61,-1.3,-3.8,1.5
2025-06-24,18.8799991607666,19.1200008392334,18.700000762939453,19.07999992370605,31700,0.0,0.0,0.0,37.11,44.11,2.66,-0.26,4.49
2025-06-25,19.0,19.24099922180176,18.731000900268555,19.15999984741211,42900,0.0,0.0,0.0,46.05,44.75,2.73,0.59,4.41
2025-06-26,19.25,19.65900039672852,19.1200008392334,19.63999938964844,37000,0.0,0.0,0.0,63.12,50.88,4.09,3.32,6.29
2025-06-27,19.64999961853028,20.299999237060547,19.530000686645508,19.84000015258789,38700,0.0,0.0,0.0,69.54,57.1,3.2,4.45,6.62
2025-06-30,19.61000061035156,20.0,19.59000015258789,19.799999237060547,30200,0.0,0.0,0.0,73.31,62.5,1.52,3.8,5.48
2025-07-01,19.6299991607666,20.450000762939453,19.549999237060547,19.895000457763672,22000,0.0,0.0,0.0,75.51,66.84,1.16,4.02,5.15
2025-07-02,20.15900039672852,20.739999771118164,19.89999961853028,20.690000534057617,34700,0.0,0.0,0.0,83.13,72.27,3.59,7.14,8.41
2025-07-03,20.86000061035156,21.0,20.549999237060547,20.600000381469727,23100,0.0,0.0,0.0,84.73,76.42,2.16,5.55,7.05
2025-07-07,20.0009994506836,20.020000457763672,19.5,19.59000015258789,31800,0.0,0.0,0.0,69.38,74.08,-2.61,-0.41,1.17
2025-07-08,19.8700008392334,20.3799991607666,19.670000076293945,19.89999961853028,12400,0.0,0.0,0.0,63.43,70.53,-1.17,0.41,2.18
2025-07-09,19.90999984741211,20.32999992370605,19.57999992370605,19.940000534057617,22400,0.0,0.0,0.0,56.82,65.96,-1.01,0.17,2.17
2025-07-10,19.670000076293945,20.04599952697754,19.51000022888184,19.739999771118164,17600,0.0,0.0,0.0,43.22,58.38,-1.07,-1.12,1.2
2025-07-11,19.350000381469727,19.589000701904297,19.31999969482422,19.39999961853028,18000,0.0,0.0,0.0,30.4,49.05,-1.59,-2.71,-0.38
2025-07-14,19.0,19.0,18.38500022888184,18.540000915527344,34000,0.0,0.0,0.0,22.24,40.11,-4.94,-6.41,-4.44
2025-07-15,19.0,19.049999237060547,18.540000915527344,18.59000015258789,31600,0.0,0.0,0.0,17.44,32.56,-3.39,-5.58,-4.09
2025-07-16,18.46999931335449,18.549999237060547,18.049999237060547,18.483999252319336,27500,0.0,0.0,0.0,16.53,27.21,-2.46,-5.44,-4.41
2025-07-17,18.069000244140625,18.32699966430664,18.049999237060547,18.163000106811523,35400,0.0,0.0,0.0,12.64,22.36,-2.53,-5.87,-5.91
2025-07-18,18.209999084472656,18.799999237060547,18.190000534057617,18.63999938964844,37500,0.0,0.0,0.0,16.87,20.53,0.85,-2.4,-3.46
2025-07-21,18.799999237060547,19.82999992370605,18.799999237060547,19.66900062561035,40500,0.0,0.0,0.0,34.91,25.32,5.13,2.94,1.45
2025-07-22,19.59000015258789,19.600000381469727,19.0,19.434999465942383,42400,0.0,0.0,0.0,46.41,32.35,2.95,1.97,-0.02
2025-07-23,19.459999084472656,19.827999114990234,19.239999771118164,19.827999114990234,22700,0.0,0.0,0.0,64.23,42.98,3.56,4.09,1.8
2025-07-24,19.375,19.6299991607666,19.14999961853028,19.62800025939941,24200,0.0,0.0,0.0,72.37,52.78,0.97,3.1,0.65
2025-07-25,19.606000900268555,19.606000900268555,19.32999992370605,19.48500061035156,9000,0.0,0.0,0.0,75.12,60.22,-0.63,2.3,-0.04
2025-07-28,19.790000915527344,20.34000015258789,19.790000915527344,20.12800025939941,47400,0.0,0.0,0.0,80.33,66.93,2.17,4.81,3.18
2025-07-29,20.350000381469727,20.75,20.14999961853028,20.36599922180176,75300,0.0,0.0,0.0,82.14,72.0,2.41,5.07,4.25
2025-07-30,20.6200008392334,20.6200008392334,19.59000015258789,19.61199951171875,262100,0.0,0.0,0.0,73.28,72.43,-1.17,0.6,0.46
2025-07-31,17.860000610351562,19.200000762939453,16.30900001525879,16.979999542236328,415800,0.0,0.0,0.0,53.89,66.25,-12.09,-12.37,-12.18
2025-08-01,16.5,17.100000381469727,16.270000457763672,16.8799991607666,102700,0.0,0.0,0.0,40.46,57.65,-10.18,-12.09,-11.85
2025-08-04,17.0,17.44099998474121,16.670000076293945,16.71500015258789,54900,0.0,0.0,0.0,30.29,48.53,-7.71,-11.59,-12.05
2025-08-05,16.940000534057617,16.950000762939453,16.350000381469727,16.541000366210938,31600,0.0,0.0,0.0,22.21,39.76,-4.64,-11.15,-12.19
2025-08-06,16.5,16.5,16.0,16.350000381469727,19000,0.0,0.0,0.0,17.26,32.26,-2.06,-10.5,-12.37
2025-08-07,16.81999969482422,16.81999969482422,16.14900016784668,16.34000015258789,34700,0.0,0.0,0.0,13.89,26.14,-1.36,-8.92,-11.62
2025-08-08,16.639999389648438,16.780000686645508,16.600000381469727,16.715999603271484,36900,0.0,0.0,0.0,14.29,22.19,1.11,-5.36,-8.93
2025-08-11,16.979999542236328,17.469999313354492,16.773000717163086,16.785999298095703,68500,0.0,0.0,0.0,15.2,19.86,1.45,-3.13,-8.11
2025-08-12,17.079999923706055,18.1200008392334,16.950000762939453,18.09600067138672,116000,0.0,0.0,0.0,31.96,23.89,7.35,5.81,-0.8
2025-08-13,18.200000762939453,18.895000457763672,18.1200008392334,18.77199935913086,122500,0.0,0.0,0.0,53.23,33.67,8.25,10.31,2.82
2025-08-14,18.38999938964844,19.270000457763672,18.3700008392334,19.16900062561035,115000,0.0,0.0,0.0,67.79,45.04,7.04,11.21,4.71
