date,open,high,low,close,volume,dividends,stock_splits
2024-05-01,265.47383012544026,270.3881957659061,263.0363878860041,265.148193359375,3761000,0.0,0.0
2024-05-02,266.8652133348036,269.48027529418135,264.4080458863146,268.5428161621094,3859900,0.0,0.0
2024-05-03,273.1710224785436,274.0098239750641,269.74676210580594,270.05267333984375,4041600,0.0,0.0
2024-05-06,272.5295943595294,273.4769313951251,270.44739230662793,271.9967041015625,3744800,0.0,0.0
2024-05-07,271.9572078867045,275.20384800314525,270.45725515376915,273.5262451171875,3507700,0.0,0.0
2024-05-08,272.09538236952784,276.24987839498493,272.09538236952784,275.29266357421875,3283300,0.0,0.0
2024-05-09,268.58227058431436,271.72034462320767,267.4967647520663,271.542724609375,4709700,0.0,0.0
2024-05-10,272.4604861859731,275.95383072755305,271.3453769032584,273.0229797363281,2912300,0.0,0.0
2024-05-13,273.48678978022247,274.13806324164585,271.5624823892103,273.86175537109375,2998700,0.0,0.0
2024-05-14,273.3091396311178,275.18408804667894,271.41446569455263,273.1512451171875,3056800,0.0,0.0
2024-05-15,276.05246561626234,284.0062165156125,276.04261791438023,283.7496643066406,5828500,0.0,0.0
2024-05-16,285.604968465962,286.1970353595834,280.8287413451802,280.92742919921875,3559200,0.0,0.0
2024-05-17,283.2563268331857,283.5523602703427,280.51297322608343,281.84515380859375,3478900,0.0,0.0
2024-05-20,282.2299860418786,283.9273144352739,281.3517034481528,283.285888671875,2799300,0.0,0.0
2024-05-21,283.0095890758634,283.4339136577968,279.55572550930765,280.01953125,3492100,0.0,0.0
2024-05-22,279.6741667685767,283.3056507388484,279.10179531302646,280.0787658691406,3309200,0.0,0.0
2024-05-23,282.9010302494508,283.2168192965478,273.80256537266393,274.89794921875,5456600,0.0,0.0
2024-05-24,267.35865617440123,271.3355324418681,264.9902984423775,268.70074462890625,8325100,0.0,0.0
2024-05-28,269.5000161115155,269.62830727676453,263.63831447151387,266.2731018066406,9294100,0.0,0.0
2024-05-29,264.4673038783234,269.27310417139495,264.24032482826146,268.0395812988281,13397900,0.0,0.0
2024-05-30,220.45517996710188,222.12290513515936,209.20545850454064,215.13623046875,66763300,0.0,0.0
2024-05-31,216.22171647407592,231.52725992453364,213.21191822997383,231.34963989257812,36807400,0.0,0.0
2024-06-03,231.52729427523278,237.81333680165244,227.17543721251346,233.5009307861328,19962700,0.0,0.0
2024-06-04,232.6127786024252,237.4185782381064,229.1391744522924,231.7641143798828,11197500,0.0,0.0
2024-06-05,232.5338265714086,233.7969525896041,228.49774398111757,233.41209411621094,10772100,0.0,0.0
2024-06-06,236.71794102758162,243.49737685344226,236.29360139599484,239.55996704101562,11693800,0.0,0.0
2024-06-07,239.1356558237745,240.71455590661472,237.122538266766,238.6619873046875,6883800,0.0,0.0
2024-06-10,238.60277094560135,240.42839067686432,237.2606975632113,238.65211486816406,7656900,0.0,0.0
2024-06-11,237.98106599251642,240.53692135844818,233.1456480772849,237.8133087158203,7264400,0.0,0.0
2024-06-12,237.3889913034171,239.00737260038247,231.7937337390737,232.69174194335938,10260100,0.0,0.0
2024-06-13,232.41542660604847,232.54370273280506,225.64585315390056,226.01097106933594,13566700,0.0,0.0
2024-06-14,226.32675862923824,232.14897994594887,226.17872686567063,228.8826141357422,8833700,0.0,0.0
2024-06-17,227.24448813141547,228.78392207517126,224.767579932952,227.4418487548828,10563700,0.0,0.0
2024-06-18,227.44184826050665,229.22798674412678,226.208325544454,228.7543182373047,7119800,0.0,0.0
2024-06-20,229.78062062789198,240.55667341184684,229.78062062789198,238.61264038085938,14809600,0.0,0.0
2024-06-21,237.3988470690393,242.13556209295544,237.02385135754685,241.82965087890625,15719600,0.0,0.0
2024-06-24,239.98430431994942,241.1882236475561,236.648854209926,236.7771453857422,7545700,0.0,0.0
2024-06-25,238.59289121391686,239.89549840019777,236.7080649326998,238.57315063476562,6037800,0.0,0.0
2024-06-26,238.28699212803272,240.39878247522816,236.7376803252588,239.94483947753906,4524700,0.0,0.0
2024-06-27,241.77043950501297,255.19117196590207,241.22768652724733,249.5169677734375,12869000,0.0,0.0
2024-06-28,250.15840139053796,256.7503394144983,249.84261235440454,253.71095275878906,12619300,0.0,0.0
2024-07-01,254.7471171314098,256.05960222683484,251.1748399982053,252.8326873779297,5871700,0.0,0.0
2024-07-02,251.68798561487884,254.33266622814278,250.71103017343327,252.81295776367188,5130600,0.0,0.0
2024-07-03,253.59255389883302,257.77665346328695,253.55307273823388,257.5102233886719,4755700,0.0,0.0
2024-07-05,259.25689733306916,262.30616217628557,257.8753577768826,259.720703125,6562100,0.0,0.0
2024-07-08,257.9345214592256,259.37526746222983,253.79975118434692,253.9773712158203,6539300,0.0,0.0
2024-07-09,253.10766067471698,254.00706674842408,248.16588894809394,249.4902801513672,7014900,0.4,0.0
2024-07-10,248.27457994504454,251.8326612110013,243.24386052599937,249.6483917236328,8947700,0.0,0.0
2024-07-11,249.6583013403217,252.44545261441885,247.99785827995532,248.19552612304688,5341800,0.0,0.0
2024-07-12,248.68969059067106,252.3169488643161,246.78217413452154,251.0123291015625,4705500,0.0,0.0
2024-07-15,253.03845605874923,253.40417248457976,249.18388033594402,249.91526794433594,4404300,0.0,0.0
2024-07-16,250.82452763526456,253.7895902348597,249.72745387017085,253.04832458496094,4780400,0.0,0.0
2024-07-17,251.0419963515447,252.59371986712904,246.70312150603525,248.29437255859375,5625300,0.0,0.0
2024-07-18,249.20364700047577,249.5100344136185,242.85841434675018,244.4694366455078,6351600,0.0,0.0
2024-07-19,245.75428052999578,246.09033243976842,242.31481193051187,244.7461700439453,4468900,0.0,0.0
2024-07-22,245.85313298525824,252.60359468760936,245.11186725766447,251.12106323242188,5647600,0.0,0.0
2024-07-23,253.60181421862694,254.33318671412533,250.79489175889518,253.07798767089844,3905500,0.0,0.0
2024-07-24,250.67627868254394,252.92972503507212,246.00135249339635,246.87110900878906,5204100,0.0,0.0
2024-07-25,251.77336900013435,261.0045790651982,248.7885349195969,253.53262329101562,7155800,0.0,0.0
2024-07-26,255.1633765395094,261.4097511676968,254.07618105983107,259.6504821777344,6127300,0.0,0.0
2024-07-29,259.6505209081252,262.98126970374227,255.509314437478,255.57850646972656,5101400,0.0,0.0
2024-07-30,256.59652961798975,257.7133747641049,252.14893542263607,254.92620849609375,3944300,0.0,0.0
2024-07-31,253.22623784985254,258.7807839945116,252.37626765959814,255.78607177734375,4647700,0.0,0.0
