date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2025-02-13,35.060001373291016,44.0,34.9900016784668,36.0,369100,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2025-02-14,37.0,38.25,35.505001068115234,36.650001525878906,242700,0.0,0.0,50.0,50.0,0.89,0.89,0.89
2025-02-18,40.52999877929688,47.150001525878906,39.0,47.150001525878906,444500,0.0,0.0,50.0,50.0,18.07,18.07,18.07
2025-02-19,46.5099983215332,48.5,45.5,46.0,220700,0.0,0.0,50.0,50.0,10.98,10.98,10.98
2025-02-20,48.97999954223633,49.4900016784668,46.709999084472656,48.2599983215332,446200,0.0,0.0,50.0,50.0,12.73,12.73,12.73
2025-02-21,48.9900016784668,50.68999862670898,48.0,50.369998931884766,1252100,0.0,0.0,50.0,50.0,10.25,14.29,14.29
2025-02-24,52.0,53.0,46.209999084472656,48.59999847412109,33848500,0.0,0.0,50.0,50.0,1.09,8.68,8.68
2025-02-25,48.29999923706055,55.0099983215332,47.810001373291016,48.15999984741211,8198900,0.0,0.0,50.0,50.0,-0.24,6.67,6.67
2025-02-26,46.150001525878906,49.90999984741211,45.29999923706055,46.58000183105469,8389000,0.0,0.0,52.63,50.88,-3.75,2.81,2.81
2025-02-27,46.040000915527344,47.869998931884766,41.58000183105469,45.15999984741211,9676100,0.0,0.0,51.59,51.11,-5.47,-0.29,-0.29
2025-02-28,45.22999954223633,48.70000076293945,43.75,46.84999847412109,7713800,0.0,0.0,50.74,50.99,-0.47,1.02,3.12
2025-03-03,48.4900016784668,50.880001068115234,47.60499954223633,50.310001373291016,4813000,0.0,0.0,55.49,52.49,6.11,5.37,9.75
2025-03-04,46.68999862670898,50.09999847412109,45.09700012207031,48.68999862670898,6074700,0.0,0.0,54.64,53.21,2.47,1.65,5.71
2025-03-05,47.59999847412109,49.39799880981445,46.5,48.470001220703125,5071800,0.0,0.0,53.53,53.31,1.2,0.68,4.84
2025-03-06,47.40999984741211,49.060001373291016,45.2400016784668,46.5,4157300,0.0,0.0,47.9,51.51,-3.45,-3.06,0.54
2025-03-07,49.20000076293945,51.130001068115234,47.15999984741211,51.0,7825500,0.0,0.0,55.31,52.78,4.09,6.18,9.57
2025-03-10,50.4900016784668,53.66999816894531,49.54999923706055,53.0,5223800,0.0,0.0,68.36,57.97,7.0,9.34,12.94
2025-03-11,51.84000015258789,53.18999862670898,49.81999969482422,52.15999984741211,3153400,0.0,0.0,74.74,63.56,3.85,6.73,10.47
2025-03-12,53.0,53.09999847412109,50.380001068115234,50.43999862670898,2177500,0.0,0.0,72.31,66.48,-0.36,2.4,6.44
2025-03-13,50.0,50.869998931884766,47.86000061035156,48.43999862670898,3547400,0.0,0.0,61.2,64.72,-5.03,-2.31,2.11
2025-03-14,49.43000030517578,54.93999862670898,49.43000030517578,54.81999969482422,4847600,0.0,0.0,73.73,67.72,5.89,8.81,13.31
2025-03-17,54.79999923706055,58.36000061035156,54.744998931884766,55.650001525878906,2930700,0.0,0.0,75.6,70.35,6.4,9.3,12.81
2025-03-18,55.13999938964844,57.88999938964844,54.56999969482422,56.41999816894531,2587300,0.0,0.0,78.81,73.17,6.14,9.15,13.31
2025-03-19,56.29999923706055,57.60499954223633,55.66999816894531,56.33000183105469,2520700,0.0,0.0,79.83,75.39,3.68,7.34,11.96
2025-03-20,56.5099983215332,57.16999816894531,54.91999816894531,56.209999084472656,2701900,0.0,0.0,79.73,76.83,0.58,5.17,10.85
2025-03-21,55.09999847412109,55.45000076293945,51.915000915527344,53.959999084472656,6372200,0.0,0.0,72.52,75.4,-3.15,0.4,6.04
2025-03-24,54.61000061035156,55.685001373291016,51.84000015258789,52.9900016784668,3562800,0.0,0.0,64.63,71.81,-3.97,-1.4,3.68
2025-03-25,52.130001068115234,53.18000030517578,51.7599983215332,52.20000076293945,3079000,0.0,0.0,56.86,66.83,-3.93,-2.88,1.74
2025-03-26,53.52999877929688,53.70000076293945,51.97999954223633,52.619998931884766,1242400,0.0,0.0,49.82,61.16,-1.82,-2.49,1.96
2025-03-27,51.95000076293945,54.2400016784668,51.709999084472656,52.880001068115234,1618100,0.0,0.0,39.08,53.8,-0.09,-2.81,1.7
2025-03-28,52.209999084472656,52.88999938964844,48.45500183105469,48.970001220703125,3987300,0.0,0.0,27.87,45.15,-5.7,-9.02,-6.01
2025-03-31,47.40999984741211,48.39500045776367,47.02000045776367,47.61000061035156,2113400,0.0,0.0,20.44,36.92,-6.38,-10.2,-8.39
2025-04-01,47.54999923706055,49.36000061035156,46.58000183105469,48.11000061035156,2115600,0.0,0.0,18.44,30.76,-3.85,-7.81,-7.37
2025-04-02,46.91999816894531,48.709999084472656,46.5099983215332,47.66999816894531,1725300,0.0,0.0,16.51,26.01,-2.81,-7.12,-8.15
2025-04-03,44.79999923706055,44.79999923706055,37.54999923706055,38.2599983215332,7372000,0.0,0.0,12.31,21.44,-17.05,-22.75,-25.69
2025-04-04,35.720001220703125,35.869998931884766,28.36000061035156,30.11000061035156,11428600,0.0,0.0,10.46,17.78,-28.91,-36.13,-40.31
2025-04-07,29.21999931335449,32.97999954223633,27.88500022888184,31.479999542236328,6238600,0.0,0.0,11.52,15.69,-19.54,-30.03,-36.23
2025-04-08,33.0,35.84000015258789,31.655000686645508,32.349998474121094,5979600,0.0,0.0,13.33,14.91,-10.07,-24.78,-33.13
2025-04-09,31.920000076293945,39.650001525878906,31.26000022888184,36.58000183105469,5601600,0.0,0.0,20.48,16.76,8.37,-11.65,-23.29
2025-04-10,34.599998474121094,35.029998779296875,30.51000022888184,31.075000762939453,4153400,0.0,0.0,18.6,17.38,-3.85,-20.77,-33.62
2025-04-11,30.559999465942383,32.04999923706055,28.270000457763672,31.96999931335449,4856000,0.0,0.0,18.74,17.83,-2.21,-14.8,-30.0
2025-04-14,33.75,36.16999816894531,32.47999954223633,33.54999923706055,4102300,0.0,0.0,21.56,19.08,1.34,-7.1,-24.72
2025-04-15,33.29999923706055,34.560001373291016,32.88999938964844,33.22999954223633,1936800,0.0,0.0,24.91,21.02,-0.15,-4.04,-23.45
2025-04-16,32.29999923706055,33.119998931884766,30.75,32.029998779296875,2321000,0.0,0.0,28.35,23.46,-1.05,-3.13,-24.09
2025-04-17,31.75,32.65999984741211,30.38999938964844,31.290000915527344,2057200,0.0,0.0,28.55,25.16,-3.47,-3.33,-23.58
2025-04-21,31.06999969482422,31.06999969482422,28.940000534057617,29.809999465942383,2579400,0.0,0.0,23.54,24.62,-6.79,-7.81,-24.99
2025-04-22,30.26000022888184,31.1200008392334,29.315000534057617,29.6200008392334,2883700,0.0,0.0,19.65,22.96,-5.05,-7.87,-23.21
2025-04-23,31.98500061035156,32.77799987792969,30.200000762939453,30.36000061035156,2750200,0.0,0.0,21.92,22.61,-0.86,-4.98,-18.99
2025-04-24,30.809999465942383,32.97999954223633,30.309999465942383,32.290000915527344,2590500,0.0,0.0,31.57,25.6,5.27,2.43,-11.44
2025-04-25,32.2599983215332,33.369998931884766,31.600000381469727,32.849998474121094,1322100,0.0,0.0,39.08,30.09,6.02,3.63,-7.36
2025-04-28,32.630001068115234,33.0,31.65999984741211,32.27000045776367,1421000,0.0,0.0,45.8,35.33,2.52,1.7,-6.8
2025-04-29,31.38999938964844,33.040000915527344,31.38999938964844,32.939998626708984,1385900,0.0,0.0,60.63,43.76,2.48,4.01,-2.81
2025-04-30,31.84000015258789,32.470001220703125,31.01000022888184,32.11000061035156,2322100,0.0,0.0,64.27,50.6,-1.18,1.75,-2.97
2025-05-01,32.47999954223633,34.189998626708984,32.47999954223633,32.59000015258789,1910200,0.0,0.0,66.02,55.74,0.12,3.09,0.78
2025-05-02,33.11000061035156,35.40999984741211,33.04999923706055,34.400001525878906,2193700,0.0,0.0,71.83,61.1,4.68,7.76,7.01
2025-05-05,33.83000183105469,35.22999954223633,33.525001525878906,34.61000061035156,1993800,0.0,0.0,76.1,66.1,3.84,6.81,6.92
2025-05-06,34.02000045776367,34.43000030517578,33.459999084472656,33.83000183105469,1707600,0.0,0.0,73.74,68.65,0.96,3.06,4.13
2025-05-07,34.0,35.560001373291016,33.37799835205078,34.970001220703125,3640000,0.0,0.0,78.17,71.82,2.61,5.06,7.21
2025-05-08,34.970001220703125,37.7599983215332,33.130001068115234,36.65999984741211,4969000,0.0,0.0,80.01,74.55,5.06,8.71,12.38
2025-05-09,37.959999084472656,38.790000915527344,37.27999877929688,37.7400016784668,2039200,0.0,0.0,82.18,77.09,6.12,10.31,14.52
2025-05-12,41.13999938964844,42.2400016784668,40.0,41.27000045776367,5374400,0.0,0.0,85.24,79.81,11.86,17.54,23.49
2025-05-13,41.84999847412109,43.79999923706055,41.29999923706055,42.0,2186700,0.0,0.0,84.86,81.49,9.01,16.61,24.1
2025-05-14,42.0,43.43000030517578,41.0099983215332,41.93000030517578,1828400,0.0,0.0,84.11,82.36,5.04,13.32,22.32
2025-05-15,41.16999816894531,41.86299896240234,39.75,40.540000915527344,1930800,0.0,0.0,79.22,81.32,-0.38,7.26,16.82
2025-05-16,40.52000045776367,41.0,39.92499923706055,40.43999862670898,2132500,0.0,0.0,75.65,79.43,-1.93,5.32,15.01
2025-05-19,39.33000183105469,39.5,38.52999877929688,38.77999877929688,1765400,0.0,0.0,68.08,75.65,-4.81,-0.09,8.9
2025-05-20,38.77999877929688,41.11100006103516,38.45000076293945,40.18000030517578,1756400,0.0,0.0,67.41,72.9,-0.48,1.85,11.18
2025-05-21,40.040000915527344,40.47999954223633,38.34999847412109,38.59999847412109,1816200,0.0,0.0,51.69,65.83,-2.79,-3.05,5.61
2025-05-22,38.400001525878906,39.28400039672852,37.77000045776367,37.84000015258789,1764900,0.0,0.0,34.85,55.5,-3.39,-5.24,2.75
2025-05-23,36.25,37.56700134277344,35.790000915527344,37.27999877929688,1232900,0.0,0.0,29.43,46.81,-3.26,-6.53,0.62
2025-05-27,37.94499969482422,38.619998931884766,37.5,38.18000030517578,1411000,0.0,0.0,30.05,41.23,-0.61,-3.53,2.24
2025-05-28,38.400001525878906,38.90999984741211,37.79999923706055,38.58000183105469,1055800,0.0,0.0,35.35,39.27,1.27,-1.67,2.53
2025-05-29,39.040000915527344,39.22499847412109,37.685001373291016,38.59999847412109,1501900,0.0,0.0,41.17,39.9,1.32,-0.78,1.71
2025-05-30,38.18999862670898,38.45000076293945,36.68000030517578,37.68999862670898,5499600,0.0,0.0,39.35,39.72,-0.99,-2.4,-1.35
2025-06-02,37.540000915527344,37.880001068115234,36.20700073242188,37.33000183105469,1621000,0.0,0.0,35.88,38.44,-1.96,-2.55,-2.67
2025-06-03,37.45000076293945,39.2400016784668,36.869998931884766,38.63999938964844,1294000,0.0,0.0,44.18,40.35,1.24,0.91,0.22
2025-06-04,38.63999938964844,40.27000045776367,38.34999847412109,39.81999969482422,1860500,0.0,0.0,59.44,46.71,3.65,4.09,2.49
2025-06-05,39.375,40.45000076293945,37.33000183105469,39.119998931884766,5456000,0.0,0.0,63.44,52.29,1.56,2.12,0.15
2025-06-06,39.72999954223633,40.15499877929688,38.52999877929688,39.150001525878906,10955500,0.0,0.0,65.42,56.66,0.87,1.85,-0.09
2025-06-09,40.27000045776367,42.23500061035156,39.54999923706055,41.81999969482422,10990300,0.0,0.0,74.65,62.66,5.31,7.53,6.17
2025-06-10,41.790000915527344,42.65999984741211,40.75,41.59000015258789,4056300,0.0,0.0,77.57,67.63,3.2,6.0,5.54
2025-06-11,42.380001068115234,43.22999954223633,39.88999938964844,40.22999954223633,3891800,0.0,0.0,70.81,68.69,-0.38,2.11,2.32
2025-06-12,39.66999816894531,41.83000183105469,39.43999862670898,41.29999923706055,2052000,0.0,0.0,71.38,69.59,1.18,4.11,5.13
2025-06-13,41.0,42.83000183105469,40.77999877929688,42.5,2755900,0.0,0.0,77.09,72.09,2.44,5.85,7.91
2025-06-16,43.369998931884766,44.84999847412109,42.560001373291016,44.209999084472656,2901800,0.0,0.0,81.89,75.36,5.35,8.26,11.72
2025-06-17,44.22999954223633,44.55899810791016,43.53499984741211,44.09000015258789,2914900,0.0,0.0,84.56,78.42,3.82,6.54,10.67
2025-06-18,45.0,47.43000030517578,44.86000061035156,46.619998931884766,3351400,0.0,0.0,86.67,81.17,6.57,10.83,16.09
2025-06-20,46.97999954223633,48.209999084472656,44.7599983215332,46.58000183105469,4762700,0.0,0.0,84.92,82.42,3.97,8.81,14.85
2025-06-23,46.36000061035156,48.25,45.80400085449219,46.95000076293945,1791600,0.0,0.0,85.03,83.29,2.76,7.71,14.47
2025-06-24,47.18000030517578,48.75,46.709999084472656,47.34000015258789,1740600,0.0,0.0,84.97,83.85,2.21,7.25,14.03
2025-06-25,47.34000015258789,48.15999984741211,47.04999923706055,47.25,2357900,0.0,0.0,84.61,84.1,0.64,5.69,12.58
2025-06-26,49.595001220703125,49.81999969482422,47.06999969482422,47.43999862670898,3449600,0.0,0.0,80.96,83.06,0.7,4.43,11.85
2025-06-27,47.22999954223633,47.7400016784668,46.18999862670898,47.150001525878906,3624000,0.0,0.0,75.05,80.39,-0.16,2.47,10.06
2025-06-30,47.22999954223633,47.34000015258789,45.33000183105469,45.34999847412109,3034600,0.0,0.0,59.66,73.48,-3.32,-2.05,4.92
2025-07-01,45.70000076293945,45.915000915527344,44.29999923706055,44.959999084472656,2893400,0.0,0.0,43.76,63.57,-3.17,-3.05,3.11
2025-07-02,44.52000045776367,46.2400016784668,44.16999816894531,46.209999084472656,3509400,0.0,0.0,41.21,56.12,-0.03,-0.8,5.06
2025-07-03,46.095001220703125,47.31999969482422,45.88999938964844,46.40999984741211,1441600,0.0,0.0,40.69,50.97,0.86,-0.33,4.73
2025-07-07,47.13999938964844,47.23500061035156,45.09000015258789,45.220001220703125,2446100,0.0,0.0,33.32,45.09,-0.9,-2.6,1.35
2025-07-08,46.119998931884766,47.25,45.61000061035156,46.16999816894531,2347200,0.0,0.0,34.01,41.4,0.82,-0.39,2.67
2025-07-09,46.119998931884766,47.09000015258789,45.98500061035156,46.20000076293945,1575100,0.0,0.0,34.65,39.15,0.34,-0.08,2.24
2025-07-10,47.369998931884766,47.75,46.619998931884766,46.95000076293945,1734300,0.0,0.0,48.99,42.43,1.65,1.61,3.29
2025-07-11,46.290000915527344,47.415000915527344,45.82500076293945,46.09000015258789,1242000,0.0,0.0,50.53,45.13,-0.08,0.04,0.74
