date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d
2024-04-24,22.50851856842066,22.80118246345329,22.50851856842066,22.765708923339844,574010,0.0,0.0,0.0,50.0,50.0
2024-04-25,22.570599477057225,22.68589059305157,22.570599477057225,22.597204208374023,266000,0.0,0.0,0.0,50.0,50.0
2024-04-26,23.22687797808017,23.3244314870644,23.11158516080031,23.14706039428711,736010,0.0,0.0,0.0,50.0,50.0
2024-04-29,23.5993557594828,23.68804044614421,23.5993557594828,23.65256690979004,337520,0.0,0.0,0.0,50.0,50.0
2024-04-30,23.76785926242971,23.79446568475306,23.67917457112266,23.68804168701172,229111,0.0,0.0,0.0,50.0,50.0
2024-05-02,22.677021086224503,22.73023223876953,22.677021086224503,22.73023223876953,370999,0.0,0.0,0.0,50.0,50.0
2024-05-03,23.040634915738053,23.102714878827964,22.943081412976248,22.960817337036133,293120,0.0,0.0,0.0,50.0,50.0
2024-05-06,23.1914009167728,23.351036071777344,23.1914009167728,23.351036071777344,556101,0.0,0.0,0.0,50.0,50.0
2024-05-07,23.617093554019696,23.785597516827305,23.617093554019696,23.750123977661133,221150,0.0,0.0,0.0,65.52,55.17
2024-05-08,23.70578027889173,23.70578027889173,23.52840919741549,23.608226776123047,98225,0.0,0.0,0.0,71.94,60.76
2024-05-09,23.65256648265194,23.65256648265194,23.59048652648925,23.59048652648925,259331,0.0,0.0,0.0,75.21,65.58
2024-05-10,23.59048697721087,23.59048697721087,23.546142942281755,23.55501174926757,212176,0.0,0.0,0.0,76.33,69.16
2024-05-13,23.73238687266862,23.79446683620853,23.70578044905774,23.767860412597656,548007,0.0,0.0,0.0,83.43,73.92
2024-05-14,23.767859232674155,23.803334462394208,23.74125450193617,23.78559684753418,261000,0.0,0.0,0.0,88.43,78.75
2024-05-15,23.95410050240837,24.140340381425208,23.95410050240837,24.07826042175293,279100,0.0,0.0,0.0,90.56,82.69
2024-05-16,24.61037899160945,24.65472134019869,24.57490375949633,24.628116607666016,413620,0.0,0.0,0.0,93.1,86.16
2024-05-17,24.57490106843625,24.592638682550472,24.54829633881692,24.557165145874023,245579,0.0,0.0,0.0,92.51,88.28
2024-05-20,24.55716596185032,24.55716596185032,24.521690732443123,24.53055953979492,183091,0.0,0.0,0.0,91.33,89.29
2024-05-21,24.82322468114485,25.00946626191908,24.82322468114485,24.96512222290039,501234,0.0,0.0,0.0,93.21,90.6
2024-05-22,24.96512176955133,25.03607053914072,24.96512176955133,25.00059700012207,372000,0.0,0.0,0.0,94.68,91.96
2024-05-23,25.186835292092308,25.772163027052155,25.186835292092308,25.763294219970703,520190,0.0,0.0,0.0,96.31,93.41
2024-05-24,25.514974586470323,25.514974586470323,25.15136195106093,25.26665306091309,344039,0.0,0.0,0.0,89.24,92.02
2024-05-27,25.75442804689509,25.75442804689509,25.417420131675488,25.532712936401367,248030,0.0,0.0,0.0,88.44,90.83
2024-05-28,25.532711905540047,25.594791863323536,25.488367870300426,25.55931663513184,330000,0.0,0.0,0.0,86.62,89.42
2024-05-29,25.772164205717075,26.038223355672592,25.772164205717075,25.993879318237305,306137,0.0,0.0,0.0,90.1,89.65
2024-05-30,25.91406230183223,25.91406230183223,25.603662490844727,25.603662490844727,195001,0.0,0.0,0.0,83.85,87.72
2024-05-31,25.56818619844499,25.56818619844499,25.46176220227404,25.47949981689453,284600,0.0,0.0,0.0,73.91,83.11
2024-06-03,25.612528968302165,25.612528968302165,25.50610666191792,25.541580200195312,144000,0.0,0.0,0.0,67.18,77.8
2024-06-04,25.541578532229103,25.541578532229103,25.435156232794657,25.44402503967285,168561,0.0,0.0,0.0,55.78,70.46
2024-06-05,25.40855101835478,25.40855101835478,25.24004706277374,25.328733444213867,139496,0.0,0.0,0.0,43.86,61.59
2024-06-06,26.0736981001498,26.25107087499148,26.0736981001498,26.126909255981445,230236,0.0,0.0,0.0,58.48,60.55
2024-06-07,26.126908471032767,26.126908471032767,26.002748547305103,26.05595970153809,182536,0.0,0.0,0.0,65.89,62.33
2024-06-11,26.09143420467304,26.339755736757645,26.09143420467304,26.28654289245605,209000,0.0,0.0,0.0,75.64,66.77
2024-06-12,26.322018397010368,26.37522955031588,26.322018397010368,26.33975601196289,214000,0.0,0.0,0.0,82.72,72.09
2024-06-13,27.24435305995725,27.732127333934866,27.24435305995725,27.510412216186523,599100,0.0,0.0,0.0,85.52,76.56
2024-06-14,27.83855052730385,27.83855052730385,27.448333125591454,27.537017822265625,659354,0.0,0.0,0.0,86.48,79.87
2024-06-17,27.67004658059587,27.67004658059587,27.430593854300515,27.439462661743164,1386151,0.0,0.0,0.0,85.86,81.87
2024-06-18,27.75873135927881,27.90949770317421,27.75873135927881,27.89176177978516,525096,0.0,0.0,0.0,90.35,84.7
2024-06-19,28.290848925517988,28.61011754751892,28.290848925517988,28.37066650390625,916062,0.0,0.0,0.0,90.51,86.63
2024-06-20,28.39727219934024,28.39727219934024,28.281979392822542,28.352928161621094,565100,0.0,0.0,0.0,90.38,87.88
2024-06-21,27.82968009968564,27.82968009968564,27.46606745151627,27.492673873901367,945997,0.0,0.0,0.0,78.8,84.86
2024-06-24,27.13793218670757,27.182274535982764,27.093588145880176,27.146800994873047,343150,0.0,0.0,0.0,64.55,78.09
2024-06-25,26.419573010247376,26.579206466674805,26.39296658840012,26.579206466674805,845200,0.0,0.0,0.0,45.83,67.34
2024-06-26,27.05811468055976,27.05811468055976,26.951690673828125,26.951690673828125,763100,0.0,0.0,0.0,38.96,57.88
2024-06-27,26.685630769186623,26.7920530746946,26.588075579510942,26.783185958862305,382054,0.0,0.0,0.0,31.84,49.2
2024-06-28,26.78318420005761,26.960555261440604,26.78318420005761,26.792051315307617,506018,0.0,0.0,0.0,27.22,41.87
2024-07-01,26.845267488176475,26.925085067749023,26.845267488176475,26.925085067749023,373099,0.0,0.0,0.0,26.15,36.63
2024-07-02,26.92508397695164,26.9694263231168,26.88960874677784,26.89847755432129,675101,0.0,0.0,0.0,25.84,33.03
2024-07-03,27.28869671092365,27.377383095074016,27.28869671092365,27.35077667236328,597070,0.0,0.0,0.0,39.45,35.17
2024-07-04,27.79420589147341,27.856285850656946,27.758730662481664,27.77646827697754,1108096,0.0,0.0,0.0,57.81,42.72
2024-07-05,27.78533893548773,27.794207743326567,27.678914932973765,27.72325897216797,853059,0.0,0.0,0.0,68.85,51.43
2024-07-08,27.92723382277041,27.92723382277041,27.69664991553849,27.70551872253418,873074,0.0,0.0,0.0,73.71,58.86
2024-07-09,28.03366026636301,28.39727292721972,28.02479145859186,28.37066650390625,2046130,0.0,0.0,0.0,81.98,66.57
2024-07-10,28.556908597975408,28.556908597975408,28.370667014533367,28.388402938842773,854057,0.0,0.0,0.0,84.82,72.65
2024-07-11,28.84070144958809,28.9825989823752,28.77862149043773,28.929386138916016,1155000,0.0,0.0,0.0,89.05,78.12
2024-07-12,28.0336606164565,28.11347819584155,27.98044776916504,27.98044776916504,1949702,0.0,0.0,0.0,76.74,77.66
2024-07-15,28.29971631282677,28.4859561920166,28.29971631282677,28.4859561920166,1687000,0.0,0.0,0.0,74.72,76.68
2024-07-16,28.734279780475266,28.752014012249344,28.6455917060843,28.743146896362305,3510400,0.0,0.0,0.0,77.02,76.79
2024-07-17,28.88129155410758,28.88129155410758,28.531325947426893,28.549745559692383,1220900,1.2,0.0,0.0,73.62,75.74
2024-07-18,27.18672743908201,27.223564909147232,26.8459716188759,27.14067840576172,1034541,0.0,0.0,0.0,53.67,68.38
2024-07-19,26.76308334775902,26.827550233558306,26.643359382216182,26.72624588012696,1170887,0.0,0.0,0.0,36.96,57.91
2024-07-22,26.247348098696865,26.247348098696865,25.878964617050897,25.96185111999512,1169704,0.0,0.0,0.0,25.53,47.12
2024-07-23,26.97490502451306,26.97490502451306,26.70782592212816,26.744665145874023,690050,0.0,0.0,0.0,26.32,40.18
2024-07-26,25.786867617094224,25.786867617094224,24.86590805934086,25.031681060791016,2136154,0.0,0.0,0.0,18.92,33.1
