date,open,high,low,close,volume,dividends,stock_splits
2024-04-25,418.5624257469969,442.7683213792549,411.70889412672494,438.4078979492188,82890700,0.0,0.0
2024-04-26,438.4873896869036,443.433867420502,429.0513586021944,440.3050842285156,32691400,0.0,0.0
2024-04-29,436.6001494786751,436.7988148712777,425.6742197513567,429.7068786621094,21502600,0.0,0.0
2024-04-30,428.147455924362,436.6597559754636,426.8264249918601,427.2734069824219,18429500,0.0,0.0
2024-05-01,425.7139786368292,446.9301340688052,424.23399111108887,436.232666015625,20344900,0.0,0.0
2024-05-02,435.8849988022705,440.9705176340693,429.3691740100177,438.7058715820313,15221300,0.0,0.0
2024-05-03,442.9272916540199,451.1118276457245,440.8613108178751,448.9166870117188,16489100,0.0,0.0
2024-05-06,452.5122844958483,463.0210597810657,450.2873775023874,462.5442810058594,15094600,0.0,0.0
2024-05-07,463.150215285953,468.3549217147275,458.2037375185185,465.0870666503906,13406800,0.0,0.0
2024-05-08,460.378993962156,472.377639194553,459.8823607432109,469.417724609375,11683900,0.0,0.0
2024-05-09,466.8352023225762,472.8742486238149,464.4811658331385,472.2187194824219,9437700,0.0,0.0
2024-05-10,473.87746056720033,474.2847034264408,466.437904971436,472.9934692382813,10750000,0.0,0.0
2024-05-13,469.56671586760143,470.1626818020876,459.7333840408823,464.858642578125,14668800,0.0,0.0
2024-05-14,460.24982000044906,469.35808569307136,456.9819652481851,468.6727294921875,10478600,0.0,0.0
2024-05-15,471.78172074211807,479.251073714393,468.0271746828079,478.2975463867188,13100500,0.0,0.0
2024-05-16,471.801527600696,474.4734165714435,469.5666782594295,470.04345703125,16608200,0.0,0.0
2024-05-17,467.6596161293241,469.61635219313234,465.265870726958,468.73236083984375,10807300,0.0,0.0
2024-05-20,466.7856165585936,470.0137327718285,463.8952073271389,465.6830749511719,11745100,0.0,0.0
2024-05-21,463.9745969325562,467.5305076270988,459.157248819606,461.5013732910156,11742200,0.0,0.0
2024-05-22,464.7195478096552,470.5301623382244,462.5144951792474,464.6301574707031,10078600,0.0,0.0
2024-05-23,469.6957821377868,471.165796891298,458.4321457091645,462.6435852050781,11747900,0.0,0.0
2024-05-24,464.4712177669983,476.618876454476,463.16009887614,474.9998474121094,12024300,0.0,0.0
2024-05-28,473.3708488306615,477.6220274622316,471.6425751359829,476.6883850097656,10175800,0.0,0.0
2024-05-29,471.46386116212193,476.6189165103456,470.51033384867264,471.1658630371094,9226200,0.0,0.0
2024-05-30,468.4939760428169,468.5535696018269,461.5808200768087,463.9050598144531,10719600,0.0,0.0
2024-05-31,462.6634907451569,465.9611425660609,451.3998530718608,463.6865539550781,16919800,0.0,0.0
2024-06-03,467.68935877281706,476.3705269083725,465.0870058983624,474.2747192382813,11279400,0.0,0.0
2024-06-04,473.788049052822,475.6653370045295,470.04344582485936,473.7781066894531,7088700,0.0,0.0
2024-06-05,481.1879287918604,493.3057609159678,480.651556438236,491.7264709472656,15690500,0.0,0.0
2024-06-06,489.6604950970564,499.4342331212912,487.5845718978277,490.4352416992188,10667300,0.0,0.0
2024-06-07,492.57077317803936,495.5505725541797,486.869433404892,489.640625,9380700,0.0,0.0
2024-06-10,490.5344993150837,499.27526127994463,490.0875476500694,499.2156677246094,11220900,0.0,0.0
2024-06-11,496.7920821312561,504.1819859157754,494.91479425221536,504.0528564453125,9673700,0.0,0.0
2024-06-12,510.5289507862748,510.5488355125895,501.0730662457402,505.4136352539063,11983200,0.0,0.0
2024-06-13,502.3047412736244,505.9301575612256,497.9840263831037,500.7055969238281,9954600,0.0,0.0
2024-06-14,499.76108944033547,504.2352263741651,497.872015470044,501.2624206542969,10243300,0.5,0.0
