date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d
2024-04-24,16.299505165843943,16.46985250546987,16.299505165843943,16.442955017089844,5024400,0.0,0.0,0.0,50.0,50.0
2024-04-25,16.36226205382711,16.49674605746363,16.35329622557709,16.38019371032715,8245333,0.0,0.0,0.0,50.0,50.0
2024-04-26,16.42501949605341,16.49674440481124,16.416053668701593,16.4698486328125,4439211,0.0,0.0,0.0,50.0,50.0
2024-04-29,16.532611467392954,16.747786242514653,16.532611467392954,16.729854583740234,6751911,0.0,0.0,0.0,50.0,50.0
2024-04-30,16.72985551554758,16.756753005207322,16.64019892673897,16.685028076171875,3326201,0.0,0.0,0.0,50.0,50.0
2024-05-02,16.65813141601376,16.909169535167024,16.64916558568072,16.900203704833984,12210434,0.0,0.0,0.0,50.0,50.0
2024-05-03,17.034683899665822,17.09744298779233,16.998820586418162,17.016752243041992,16507345,0.0,0.0,0.0,50.0,50.0
2024-05-06,17.115375462996575,17.196066211606123,17.0615822006092,17.14227294921875,9398182,0.0,0.0,0.0,50.0,50.0
2024-05-07,17.16917013451337,17.21399928189627,17.016754453525746,17.079513549804688,7757818,0.0,0.0,0.0,61.76,53.92
2024-05-08,17.0615848498841,17.0615848498841,16.87330583720739,16.980894088745117,5479392,0.0,0.0,0.0,65.48,57.78
2024-05-09,16.989861067533848,16.989861067533848,16.72985710627264,16.73882293701172,10537326,0.0,0.0,0.0,57.14,57.56
2024-05-10,16.73882035544753,16.792613621528314,16.66709543065412,16.756752014160156,9881808,0.0,0.0,0.0,49.06,54.73
2024-05-13,16.738821088490024,16.774682697428666,16.622268721867968,16.711923599243164,9907359,0.0,0.0,0.0,37.76,49.07
2024-05-14,16.747785314694084,16.7836469201991,16.67606039362705,16.774681091308594,8722818,0.0,0.0,0.0,33.76,43.97
2024-05-15,16.792613003311462,16.909167070595526,16.747785568237305,16.747785568237305,5553010,0.0,0.0,0.0,29.57,39.17
2024-05-16,16.89123340032223,17.052614883455373,16.89123340032223,17.034683227539062,9343734,0.0,0.0,0.0,42.95,40.43
2024-05-17,17.034686982852204,17.07055030259093,16.97192788336664,17.06158447265625,8375610,0.0,0.0,0.0,53.38,44.75
2024-05-20,17.06158582624607,17.09744743877269,16.918135956024905,17.02572250366211,11305586,0.0,0.0,0.0,63.89,51.13
2024-05-21,17.02572152935244,17.034687359485357,16.891237497473217,16.980894088745117,4505526,0.0,0.0,0.0,67.75,56.67
2024-05-22,17.043655299066458,17.187105178833008,17.025723636581272,17.187105178833008,6730883,0.0,0.0,0.0,78.5,63.94
2024-05-23,17.178135229223123,17.178135229223123,17.034685383847915,17.12434196472168,5139749,0.0,0.0,0.0,81.96,69.95
2024-05-24,17.02572212361783,17.124344548464958,16.980894681445847,17.106412887573242,3409000,0.0,0.0,0.0,82.71,74.2
2024-05-27,17.24089640301368,17.438141246745904,17.222964742663976,17.357450485229492,7055457,0.0,0.0,0.0,84.58,77.66
2024-05-28,17.41124337919851,17.447104989064115,17.35745010937149,17.438140869140625,4752131,0.0,0.0,0.0,89.18,81.5
2024-05-29,17.46503930225691,17.46503930225691,17.330555252230386,17.393314361572266,6303378,0.0,0.0,0.0,88.62,83.88
2024-05-30,17.240896462807367,17.34848471522146,17.178137361423005,17.33055305480957,6567792,0.0,0.0,0.0,84.6,84.12
2024-05-31,17.420213128367145,17.42917896036498,17.294694900512695,17.294694900512695,8878024,0.0,0.0,0.0,79.84,82.69
2024-06-03,17.375382698886735,17.393314361572266,17.2946936369168,17.393314361572266,5557508,0.0,0.0,0.0,81.62,82.33
2024-06-04,17.357450485229492,17.393312095871647,17.25882806336338,17.357450485229492,9044565,0.0,0.0,0.0,80.34,81.67
2024-06-05,17.366418902612736,17.411246350108026,17.294693960585764,17.339521408081055,5347405,0.0,0.0,0.0,78.25,80.53
2024-06-06,17.474000563772226,17.57262297269328,17.384343983849178,17.554691314697266,8303801,0.0,0.0,0.0,83.99,81.68
2024-06-07,17.581587875271413,17.617449479316775,17.51882878564933,17.599517822265625,7277610,0.0,0.0,0.0,87.96,83.78
2024-06-11,17.572623893285048,17.66228047790501,17.500898967600502,17.62641716003418,7393460,0.0,0.0,0.0,89.51,85.69
2024-06-12,17.644349005159714,17.742971420288086,17.590555737842937,17.742971420288086,5841708,0.0,0.0,0.0,93.0,88.13
2024-06-13,17.886419716114034,18.05676533279768,17.86848805855039,17.895383834838867,7793473,0.0,0.0,0.0,88.59,88.28
2024-06-14,17.90435268281699,17.967113494873047,17.877456901993103,17.967113494873047,5514513,0.0,0.0,0.0,88.65,88.4
2024-06-17,17.967111948487464,18.065732653115813,17.90435114183308,18.002973556518555,6635956,0.0,0.0,0.0,89.84,88.88
2024-06-18,18.092629761445608,18.20918212266859,18.05676644411109,18.20021629333496,7108292,0.0,0.0,0.0,92.9,90.22
