date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2026-01-08,106.24188019465356,106.8875780554229,101.36439328349111,103.71870422363281,1825300,0.0,0.0,0.0
2026-01-09,104.85115842795317,107.18659043885144,104.00678019917433,105.74519348144531,1484200,0.0,0.0,0.0
2026-01-12,103.73856917684328,109.19221775969358,102.47698118272189,107.79155731201172,1968500,0.0,0.0,0.0
2026-01-13,109.67897559803822,113.41407506444229,109.01340592890253,110.55314636230469,2015500,0.0,0.0,0.0
2026-01-14,109.68890667670851,110.79056513282497,106.86771397217277,110.29486846923828,1352100,0.0,0.0,0.0
2026-01-15,111.56639056891706,111.56639056891706,106.98691287505369,108.38758087158203,1412800,0.0,0.0,0.0
2026-01-16,109.41076015441541,109.4802963797989,104.88095443485128,106.41075897216797,1145700,0.0,0.0,0.0
2026-01-20,100.34121490314905,104.90082087488038,100.22200669476277,101.24518585205078,1942300,0.0,0.0,0.0
2026-01-21,100.72863363882107,107.73195114738499,99.62598232583825,105.12930297851562,1960300,0.0,0.0,0.0
2026-01-22,108.82467348013067,109.4703637729513,105.41738317571006,106.49022674560547,1273900,0.0,0.0,0.0
2026-01-23,107.70712196712934,108.41738431994176,104.45380420035934,104.76174926757812,984600,0.0,0.0,0.0
2026-01-26,104.56307549660785,109.7624223263693,104.1458505573191,108.0697021484375,1254000,0.0,0.0,0.0
2026-01-27,109.42566542407342,111.12931439511199,108.22864187850946,108.98361206054688,946100,0.0,0.0,0.0
2026-01-28,109.66407216126017,110.851159771667,107.2650685283717,109.88758850097656,1077200,0.0,0.0,0.0
2026-01-29,112.8180535056138,114.23858578857478,103.6690337619249,111.02996826171875,2061700,0.0,0.0,0.0
2026-01-30,108.79486673098836,112.40480875064195,107.42400641436468,111.45712280273438,1159100,0.0,0.0,0.0
2026-02-02,109.55976837316335,115.53990648492866,109.52003230458496,114.93394470214844,2094400,0.0,0.0,0.0
2026-02-03,117.35779474204384,118.33130949914315,110.66242238767944,112.11275482177734,2073300,0.0,0.0,0.0
2026-02-04,114.08957680097033,114.38262178746736,104.71208418090337,107.82135772705078,4510900,0.0,0.0,0.0
2026-02-05,94.35113900086235,107.2849300057354,90.41735156457084,106.44055938720703,4985400,0.0,0.0,0.0
2026-02-06,103.92730954837819,105.89419564547438,99.1292873515029,101.07630920410156,2519600,0.0,0.0,0.0
2026-02-09,99.8941889073667,103.92731276437031,97.52994963723924,101.71207427978516,1481200,0.0,0.0,0.0
2026-02-10,100.05313587536747,100.20015099824151,95.85113929578897,98.3047866821289,1551400,0.0,0.0,0.0
2026-02-11,98.62266230496398,99.62597718040213,92.74186065870481,93.44715881347656,2739100,0.0,0.0,0.0
2026-02-12,94.0630589702946,96.67564298509646,91.39086706246562,92.29484558105469,2320000,0.0,0.0,0.0
2026-02-13,91.39086387526898,91.90741759724808,89.06636075804299,90.23854064941406,1520300,0.0,0.0,0.0
2026-02-17,86.92066005956981,89.4339076463857,84.68555737232373,88.13258361816406,1442300,0.0,0.0,0.0
2026-02-18,87.95377927999655,89.98027338887358,87.59616222673117,88.88755798339844,1473600,0.0,0.0,0.0
2026-02-19,87.71039497341629,90.00013381902984,86.83721703517024,88.47032928466797,1039400,0.0,0.0,0.0
2026-02-20,89.304773299745,96.38756281628356,89.06636446267515,95.50345611572266,2523500,0.0,0.0,0.0
2026-02-23,97.85776471593111,98.21538175238855,92.36438020990447,93.25841522216797,1627200,0.0,0.0,0.0
2026-02-24,92.79153275989952,93.7749758131778,90.00013271456936,92.890869140625,1448700,0.0,0.0,0.0
2026-02-25,93.5762979655892,94.54981271194406,92.04650098812911,94.02332305908203,1693300,0.0,0.0,0.0
2026-02-26,94.0382264170026,94.20213486577788,87.80477151233099,90.6756362915039,2315700,0.0,0.0,0.0
2026-02-27,88.79318579674444,93.61603669314826,88.59947719106083,93.178955078125,1253200,0.0,0.0,0.0
2026-03-02,88.36105615355157,91.29152865586619,87.1193324438115,90.07960510253906,1899600,0.0,0.0,0.0
2026-03-03,85.31635533015132,88.58953723155047,84.31800461049293,88.4405288696289,1628900,0.0,0.0,0.0
2026-03-04,87.86934148682306,89.45378220846304,86.7219899515335,88.15245056152344,1302300,0.0,0.0,0.0
2026-03-05,87.9140387763137,88.17231943039833,85.09284614158031,86.6822509765625,1457700,0.0,0.0,0.0
2026-03-06,83.81138957216335,86.45377379049626,83.44383661107477,85.34119415283203,1194700,0.0,0.0,0.0
2026-03-09,83.06635734690029,90.16901135940334,82.94714913471688,89.87100219726562,1177100,0.0,0.0,0.0
2026-03-10,89.9901997301905,91.69384865162783,89.47563165292253,90.37762451171875,996200,0.0,0.0,0.0
2026-03-11,89.9852326933621,92.80146115149616,89.66238756107992,91.19219207763672,811400,0.0,0.0,0.0
2026-03-12,89.94053278035929,91.29152878477457,86.72198704225468,88.102783203125,734000,0.0,0.0,0.0
2026-03-13,90.2087430280833,90.45311644063801,86.32463514526552,87.3875503540039,675700,0.0,0.0,0.0
2026-03-16,88.67099680686395,89.72199044879551,87.80476868692391,89.20543670654297,710500,0.0,0.0,0.0
2026-03-17,89.43391023850756,92.58291985243285,89.20543731247328,92.41404724121094,750500,0.0,0.0,0.0
2026-03-18,91.39583192087696,93.2286173835702,89.93059941559244,90.37762451171875,521500,0.0,0.0,0.0
2026-03-19,88.15244911018118,90.53656019275283,87.25840650685679,89.98027038574219,494900,0.0,0.0,0.0
2026-03-20,88.81802071793025,89.45378267655936,84.77496088079278,86.20542907714844,818600,0.0,0.0,0.0
2026-03-23,87.14914076022376,89.15576295383684,86.23621917710719,87.0199966430664,1163300,0.0,0.0,0.0
2026-03-24,85.04000091552734,85.69999694824219,80.1500015258789,80.23999786376953,1262800,0.58,0.0,0.0
2026-03-25,81.66000366210938,83.2699966430664,79.58999633789062,80.5,1064600,0.0,0.0,0.0
2026-03-26,78.75199890136719,78.75199890136719,73.70999908447266,74.94999694824219,1411800,0.0,0.0,0.0
2026-03-27,73.0,73.97000122070312,71.11699676513672,71.33999633789062,892800,0.0,0.0,0.0
2026-03-30,72.11000061035156,72.55000305175781,70.1500015258789,70.80999755859375,688400,0.0,0.0,0.0
2026-03-31,73.33000183105469,78.3499984741211,72.76499938964844,78.05000305175781,1066900,0.0,0.0,0.0
2026-04-01,80.0,85.1500015258789,79.76000213623047,83.44999694824219,1903100,0.0,0.0,0.0
2026-04-02,79.36499786376953,83.69999694824219,78.93000030517578,82.44999694824219,707500,0.0,0.0,0.0
2026-04-06,82.48500061035156,85.1259994506836,82.13999938964844,84.7699966430664,562700,0.0,0.0,0.0
2026-04-07,86.20999908447266,87.91000366210938,83.5,87.77999877929688,1057500,0.0,0.0,0.0
2026-04-08,96.68000030517578,97.37999725341797,93.33000183105469,94.25,1113852,0.0,0.0,0.0
