date,open,high,low,close,volume,dividends,stock_splits
2024-04-25,388.0735680343126,393.8449998393028,382.1642681956724,393.0078430175781,40586500,0.0,0.0
2024-04-26,405.93939976601416,406.7568397543272,399.6262936342629,400.1778259277344,29694700,0.0,0.0
2024-04-29,399.12393070882416,400.1777629830485,393.1555407133354,396.1692810058594,19582100,0.0,0.0
2024-04-30,395.4207954000411,396.0806804506466,383.2870557136592,383.4446105957031,28781400,0.0,0.0
2024-05-01,386.6749928264685,395.64729473492514,384.4097734063593,388.96978759765625,23562500,0.0,0.0
2024-05-02,391.6487169798458,393.88439136644655,388.6842084752251,391.8259887695313,17709400,0.0,0.0
2024-05-03,396.1988709336313,400.9952480161036,395.7852067038653,400.5126647949219,17446700,0.0,0.0
2024-05-06,402.5808944329267,407.6727240993538,400.2270089943109,407.2886352539063,16996600,0.0,0.0
2024-05-07,408.3917165446932,408.4015749957849,402.90590929968624,403.1521301269531,20018200,0.0,0.0
2024-05-08,401.9998461853561,405.9984701419799,400.56189486819255,404.3340148925781,11792300,0.0,0.0
2024-05-09,404.3635513602943,406.4810444841864,402.9157716795976,406.0870971679688,14689700,0.0,0.0
2024-05-10,406.6976812024574,409.1007986751684,405.5748998993257,408.470458984375,13402300,0.0,0.0
2024-05-13,411.6911003868472,412.0259571204268,404.609786667718,407.4659423828125,15440200,0.0,0.0
2024-05-14,405.7915915372278,411.1789041925516,405.3286952009842,410.2629699707031,15109300,0.0,0.0
2024-05-15,412.3251142272524,418.1562771146736,411.7035137509103,417.4360046386719,22239500,0.75,0.0
2024-05-16,416.1730628235195,419.744796345379,414.7424242787078,415.3738708496094,17530100,0.0,0.0
2024-05-17,416.90321260748334,417.27814812423264,412.45336756995647,414.6042785644531,15352200,0.0,0.0
2024-05-20,414.6043538974014,421.0768405223179,414.3872875119725,419.6659240722656,16272100,0.0,0.0
2024-05-21,421.1359884863952,427.1940941013643,419.1824213563369,423.3165283203125,21453300,0.0,0.0
2024-05-22,424.3525379179631,426.6415960323189,421.4320331471637,424.77679443359375,18073700,0.0,0.0
2024-05-23,427.194070817087,427.8156712738496,419.7448017896618,421.3037109375,17211700,0.0,0.0
2024-05-24,421.49115879915024,425.3095270127513,418.7482460431178,424.4215393066406,11855300,0.0,0.0
2024-05-28,423.8986700778892,425.0727976913439,420.9090919797955,424.5794677734375,15718000,0.0,0.0
2024-05-29,420.0112068053538,425.1911706830153,420.0112068053538,423.4447937011719,15517100,0.0,0.0
2024-05-30,418.639722265152,418.639722265152,408.7139275324575,409.1382141113281,28394500,0.0,0.0
2024-05-31,411.19045552886206,411.19045552886206,399.1137496856911,409.5920715332031,47995300,0.0,0.0
2024-06-03,409.9867358256656,410.8747236026411,403.4649291544174,408.0035400390625,17484700,0.0,0.0
2024-06-04,406.92804504027714,410.8845599967463,404.21473091731406,410.5195007324219,14348900,0.0,0.0
