date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2025-06-05,69.0,103.75,64.0,83.2300033569336,47192000,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2025-06-06,96.38999938964844,123.51499938964844,92.9499969482422,107.6999969482422,60706300,0.0,0.0,50.0,50.0,12.82,12.82,12.82
2025-06-09,132.72000122070312,138.57000732421875,108.4000015258789,115.25,45521100,0.0,0.0,50.0,50.0,12.92,12.92,12.92
2025-06-10,115.0,115.0,101.51000213623048,105.91000366210938,25517800,0.0,0.0,50.0,50.0,2.8,2.8,2.8
2025-06-11,107.0,120.48999786376952,106.5,117.1999969482422,26481400,0.0,0.0,50.0,50.0,10.71,10.71,10.71
2025-06-12,116.79000091552734,117.93099975585938,104.26000213623048,106.54000091552734,13416500,0.0,0.0,50.0,50.0,-3.6,0.54,0.54
2025-06-13,108.80999755859376,134.72000122070312,108.8000030517578,133.55999755859375,34013600,0.0,0.0,50.0,50.0,15.44,21.51,21.51
2025-06-16,147.5399932861328,165.60000610351562,145.8800048828125,151.05999755859375,43781500,0.0,0.0,50.0,50.0,22.96,31.29,31.29
2025-06-17,156.36000061035156,164.4199981689453,143.52999877929688,149.14999389648438,31234200,0.0,0.0,61.27,53.76,13.42,25.5,25.5
2025-06-18,153.22000122070312,200.8999938964844,148.0,199.58999633789065,63566800,0.0,0.0,73.78,60.43,34.88,57.26,57.26
2025-06-20,231.5,248.8800048828125,206.1699981689453,240.27999877929688,92427200,0.0,0.0,80.57,67.14,37.52,68.47,75.1
2025-06-23,238.4600067138672,298.989990234375,232.47999572753903,263.45001220703125,99128700,0.0,0.0,81.05,71.78,31.26,66.53,78.32
2025-06-24,250.4199981689453,265.0,217.57899475097656,222.6499938964844,68222600,0.0,0.0,74.3,72.62,3.55,31.79,45.04
2025-06-25,218.5449981689453,227.5399932861328,198.0,198.6199951171875,49283200,0.0,0.0,65.68,70.31,-11.69,11.45,26.73
2025-06-26,209.0399932861328,226.9499969482422,205.67999267578125,213.6300048828125,45550300,0.0,0.0,62.16,67.59,-6.19,13.72,33.09
2025-06-27,223.64700317382807,223.64700317382807,175.60000610351562,180.42999267578125,48112100,0.0,0.0,49.35,61.51,-16.37,-7.59,11.54
2025-06-30,181.7700042724609,192.5,178.0,181.2899932861328,34461500,0.0,0.0,41.0,54.67,-9.05,-9.36,11.28
2025-07-01,184.6699981689453,194.0,171.5,192.52999877929688,31252100,0.0,0.0,37.16,48.84,-0.4,-5.7,17.0
2025-07-02,187.2100067138672,189.0,176.0,177.97000122070312,18546000,0.0,0.0,26.47,41.38,-5.92,-14.04,7.69
2025-07-03,182.1699981689453,192.5,181.38999938964844,188.7700042724609,17192000,0.0,0.0,22.16,34.97,2.48,-8.35,13.42
2025-07-07,193.75,208.6000061035156,186.6000061035156,207.4600067138672,31640800,0.0,0.0,27.59,32.51,9.42,2.36,20.16
2025-07-08,199.5,209.5,196.0,204.8099975585937,22225500,0.0,0.0,38.21,34.41,5.4,4.06,15.38
2025-07-09,209.3600006103516,215.6000061035156,197.25,200.67999267578125,17934400,0.0,0.0,43.01,37.28,2.42,3.11,10.4
2025-07-10,208.83999633789065,209.57000732421875,199.0,202.8999938964844,12340100,0.0,0.0,48.75,41.1,0.98,4.03,8.72
2025-07-11,204.17999267578125,206.8000030517578,182.5,187.3300018310547,18227400,0.0,0.0,44.46,42.22,-6.63,-2.64,-1.48
2025-07-14,189.2700042724609,204.9100036621093,185.5399932861328,204.6999969482422,15445200,0.0,0.0,54.74,46.39,2.31,5.06,4.95
2025-07-15,198.0,203.4600067138672,188.1000061035156,195.3300018310547,14758500,0.0,0.0,52.76,48.52,-1.44,-0.47,-1.41
2025-07-16,203.0500030517578,239.697998046875,201.32000732421875,233.1999969482422,43669500,0.0,0.0,64.79,53.94,13.93,16.42,15.31
2025-07-17,225.5850067138672,244.3600006103516,220.009994506836,235.0800018310547,29222500,0.0,0.0,71.53,59.8,11.34,14.1,13.82
2025-07-18,244.8999938964844,262.9700012207031,222.4900054931641,223.77999877929688,42877400,0.0,0.0,64.79,61.46,2.45,6.8,7.72
2025-07-21,226.3999938964844,231.8800048828125,213.3300018310547,216.1000061035156,19033100,0.0,0.0,57.11,60.01,-2.08,2.71,4.63
2025-07-22,207.5500030517578,211.9900054931641,192.8999938964844,198.3099975585937,18485900,0.0,0.0,44.62,54.88,-10.39,-5.45,-2.44
2025-07-23,198.3800048828125,202.5,195.0800018310547,202.4100036621093,10319800,0.0,0.0,37.99,49.25,-5.92,-3.57,0.07
2025-07-24,199.75,201.25,189.22999572753903,193.0800018310547,9085900,0.0,0.0,28.58,42.36,-6.61,-7.59,-4.41
2025-07-25,192.5399932861328,195.6999969482422,187.5,192.8600006103516,6988500,0.0,0.0,21.42,35.38,-3.84,-7.94,-4.03
2025-07-28,196.9750061035156,197.8999938964844,183.9100036621093,185.3600006103516,9524200,0.0,0.0,14.89,28.55,-4.65,-10.69,-7.87
2025-07-29,187.875,190.75,180.6820068359375,181.63999938964844,9534800,0.0,0.0,10.31,22.47,-4.94,-11.9,-9.73
2025-07-30,182.6199951171875,193.33399963378903,182.1000061035156,190.5,9317700,0.0,0.0,10.85,18.6,0.96,-5.65,-5.28
2025-07-31,188.7550048828125,189.8699951171875,183.0,183.5200042724609,5770600,0.0,0.0,9.08,15.43,-1.74,-6.73,-8.87
2025-08-01,176.92999267578125,181.5500030517578,167.3000030517578,168.10000610351562,12924900,0.0,0.0,6.65,12.5,-7.55,-12.08,-16.1
2025-08-04,172.10000610351562,172.10000610351562,154.5,164.82000732421875,11701300,0.0,0.0,11.6,12.2,-7.26,-11.42,-16.85
2025-08-05,160.0,164.32000732421875,153.91000366210938,153.92999267578125,7802400,0.0,0.0,7.75,10.72,-10.6,-15.25,-21.34
2025-08-06,150.08999633789062,162.44000244140625,149.0,161.7100067138672,8357900,0.0,0.0,13.83,11.75,-2.83,-8.92,-16.53
2025-08-07,167.67999267578125,169.9199981689453,151.10000610351562,152.92999267578125,10166300,0.0,0.0,11.9,11.8,-4.6,-11.87,-20.03
2025-08-08,155.01499938964844,163.22000122070312,154.11700439453125,159.02999877929688,8921000,0.0,0.0,15.47,13.03,0.34,-6.54,-16.22
2025-08-11,161.0050048828125,169.8000030517578,155.52699279785156,161.1699981689453,11888900,0.0,0.0,19.47,15.17,2.17,-3.91,-14.11
2025-08-12,186.3000030517578,189.9199981689453,161.50999450683594,163.2100067138672,33232700,0.0,0.0,24.55,18.3,2.26,-1.62,-12.27
2025-08-13,156.63999938964844,164.63999938964844,152.14999389648438,153.16000366210938,17877900,0.0,0.0,19.76,18.79,-3.0,-5.55,-15.86
2025-08-14,152.0,156.8000030517578,136.39999389648438,139.22999572753906,17905900,0.0,0.0,14.93,17.5,-10.27,-11.73,-21.45
2025-08-15,141.15499877929688,151.47000122070312,139.25,149.25999450683594,23286200,0.0,0.0,17.97,17.66,-2.58,-4.23,-13.98
2025-08-18,148.69500732421875,149.4499969482422,141.35000610351562,141.5800018310547,8683100,0.0,0.0,15.2,16.84,-5.16,-7.78,-16.61
2025-08-19,143.97999572753906,144.64999389648438,133.11000061035156,135.22999572753906,9688100,0.0,0.0,11.38,15.02,-5.89,-10.83,-18.85
2025-08-20,136.94000244140625,139.5,129.10000610351562,137.80999755859375,9944100,0.0,0.0,12.36,14.13,-2.0,-7.67,-15.66
2025-08-21,135.0,136.99000549316406,131.58999633789062,131.8000030517578,4986600,0.0,0.0,9.72,12.66,-5.27,-10.43,-17.8
2025-08-22,132.99000549316406,144.6999969482422,131.0500030517578,135.0399932861328,13309100,0.0,0.0,9.74,11.69,-0.92,-6.71,-14.23
2025-08-25,134.36000061035156,135.32000732421875,124.6999969482422,125.23999786376952,10419800,0.0,0.0,6.94,10.1,-5.85,-11.28,-18.91
2025-08-26,125.5999984741211,130.25,124.16000366210938,129.0500030517578,6923300,0.0,0.0,9.62,9.94,-2.08,-6.31,-15.0
