date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2026-01-02,628.6556005821125,629.6723496085568,623.2426942846066,626.3229370117188,11337000,0.0,0.0,0.0
2026-01-05,629.393290983123,632.0448941989613,629.2437386391077,630.4699096679688,16175600,0.0,0.0,0.0
2026-01-06,630.6492952152564,634.676560700582,630.5396559530523,634.2080688476562,8672000,0.0,0.0,0.0
2026-01-07,634.5769502621604,636.2117435867215,631.9352644321782,632.1744995117188,8820100,0.0,0.0,0.0
2026-01-08,631.4866273690646,633.1015248945556,630.2505389760319,632.0648193359375,9017400,0.0,0.0,0.0
2026-01-09,633.1514228551882,637.4279017776852,631.8056343411428,636.3014526367188,7864100,0.0,0.0,0.0
2026-01-12,633.1912813337509,638.1456132747566,633.1613465285859,637.3282470703125,7929800,0.0,0.0,0.0
2026-01-13,637.667171495868,638.1357242292579,633.8193319990434,636.0223999023438,8860000,0.0,0.0,0.0
2026-01-14,633.4903348185279,634.1183573055588,629.0144729471913,632.9420776367188,8683400,0.0,0.0,0.0
2026-01-15,636.7600192444881,637.5674680057444,633.6996722290087,634.6167602539062,6937000,0.0,0.0,0.0
2026-01-16,635.9526119524139,636.5008691494698,632.6829036215094,634.0885009765625,6733700,0.0,0.0,0.0
2026-01-20,624.7878350890451,627.7783952333785,620.262081797702,621.189208984375,14877600,0.0,0.0,0.0
2026-01-21,623.0533256649838,631.4069619456919,621.6876413873049,628.3067016601562,10403800,0.0,0.0,0.0
2026-01-22,632.4336342193808,633.6198920846093,629.7620746664077,631.5763549804688,6085500,0.0,0.0,0.0
2026-01-23,630.8885484448035,633.4703645304628,629.9813778307397,631.8355712890625,5850400,0.0,0.0,0.0
2026-01-26,633.0318116823709,636.3812243340543,632.5234067392744,635.0853271484375,9007400,0.0,0.0,0.0
2026-01-27,636.4110713160646,638.5842042244849,635.8628141657504,637.6870727539062,4339600,0.0,0.0,0.0
2026-01-28,639.032851924327,639.7904702337662,636.2117398014742,637.58740234375,5568700,0.0,0.0,0.0
2026-01-29,638.4147731092087,639.0228390403352,627.8381738425048,636.2615966796875,8697200,0.0,0.0,0.0
2026-01-30,634.2479523837117,636.4410419515368,629.9614950902494,634.218017578125,6562300,0.0,0.0,0.0
2026-02-02,632.1844210853287,638.9431156917317,632.0747818242223,637.6671142578125,9490300,0.0,0.0,0.0
2026-02-03,638.315148704146,638.9830234398476,627.1304220220587,632.1546020507812,9702800,0.0,0.0,0.0
2026-02-04,632.9321137380748,633.9189888563574,625.0270736799457,628.9247436523438,11322000,0.0,0.0,0.0
2026-02-05,624.269416268178,626.7715278478421,619.5443412444276,621.1392822265625,11714700,0.0,0.0,0.0
2026-02-06,624.7478791699393,634.7164123007573,624.2295568204432,633.2410888671875,12987900,0.0,0.0,0.0
2026-02-09,632.0747966164091,637.9761512786496,631.1177955185733,636.2216796875,8908500,0.0,0.0,0.0
2026-02-10,637.1288942681263,638.6042178247523,634.0785253093898,634.4373779296875,13645300,0.0,0.0,0.0
2026-02-11,638.4745826229479,639.1325398960017,631.8455444528879,634.3475952148438,5345000,0.0,0.0,0.0
2026-02-12,636.5008740941993,637.5077057629776,623.7909932456909,624.5186767578125,8951100,0.0,0.0,0.0
2026-02-13,624.9572716646039,629.1839201895053,621.1592627846891,624.9174194335938,9312800,0.0,0.0,0.0
2026-02-17,623.5716131766302,627.947813918952,619.5543258756086,626.013916015625,8718600,0.0,0.0,0.0
2026-02-18,627.1303817388545,631.8056262746594,626.0238891485947,629.1640014648438,9509200,0.0,0.0,0.0
2026-02-19,626.9709413081965,629.0942438607823,624.8376604869816,627.5491333007812,5212400,0.0,0.0,0.0
2026-02-20,625.5055037062776,632.5831988061159,625.0569683853632,632.0249633789062,7482000,0.0,0.0,0.0
2026-02-23,630.6194006833334,632.613107438793,623.781001114451,625.6550903320312,10868700,0.0,0.0,0.0
2026-02-24,625.1766274090892,631.0979389749934,623.4321339778913,630.220703125,6930300,0.0,0.0,0.0
2026-02-25,632.7726008854187,635.9924176365773,632.7426660811561,635.52392578125,12135200,0.0,0.0,0.0
2026-02-26,635.6435697985864,635.7631873344244,627.4494035350784,631.9552001953125,9497700,0.0,0.0,0.0
2026-02-27,626.2631440545715,629.7023003091678,624.9672468574614,629.0543212890625,10471100,0.0,0.0,0.0
2026-03-02,622.2259227981638,631.3471556958345,621.637752524395,629.2936401367188,9211400,0.0,0.0,0.0
2026-03-03,618.8565145092585,625.8145312957482,613.9420348844322,623.7510375976562,18493400,0.0,0.0,0.0
