date,open,high,low,close,volume,dividends,stock_splits,capital_gains,kd_k,kd_d,bias_5,bias_10,bias_20
2024-06-05,57.75,58.0,57.45000076293945,57.5,934305,0.0,0.0,0.0,62.06,61.83,-1.36,-1.04,-0.24
2024-06-06,58.34999847412109,58.650001525878906,57.84999847412109,58.0,378010,0.0,0.0,0.0,59.17,60.95,-0.97,-0.2,0.49
2024-06-07,58.0,58.04999923706055,57.70000076293945,57.75,148005,0.0,0.0,0.0,55.36,59.08,-1.16,-0.66,-0.04
2024-06-11,59.34999847412109,59.70000076293945,58.84999847412109,58.95000076293945,1189015,0.0,0.0,0.0,61.91,60.02,1.13,1.25,1.82
2024-06-12,58.29999923706055,58.29999923706055,57.70000076293945,57.900001525878906,786003,0.0,0.0,0.0,58.32,59.45,-0.21,-0.46,-0.1
2024-06-13,57.54999923706055,57.59999847412109,56.900001525878906,57.150001525878906,959096,0.0,0.0,0.0,41.52,53.48,-1.38,-1.67,-1.41
2024-06-14,56.70000076293945,58.0,56.70000076293945,57.45000076293945,665000,0.0,0.0,0.0,35.14,47.37,-0.67,-1.3,-0.93
2024-06-17,55.400001525878906,55.900001525878906,55.25,55.5,2508002,0.0,0.0,0.0,25.3,40.01,-3.29,-4.16,-4.14
2024-06-18,55.900001525878906,56.34999847412109,55.900001525878906,56.04999923706055,682220,0.0,0.0,0.0,22.86,34.29,-1.34,-2.61,-3.0
2024-06-19,56.900001525878906,57.0,56.34999847412109,56.45000076293945,639052,0.0,0.0,0.0,24.23,30.94,-0.12,-1.43,-2.15
2024-06-20,56.25,56.650001525878906,55.75,56.59999847412109,650023,0.0,0.0,0.0,26.27,29.38,0.34,-1.01,-1.81
2024-06-21,56.95000076293945,57.09999847412109,56.5,56.59999847412109,947300,0.0,0.0,0.0,27.62,28.8,0.64,-0.77,-1.7
2024-06-24,57.20000076293945,57.59999847412109,56.5,57.400001525878906,1080055,0.0,0.0,0.0,41.91,33.17,1.38,0.69,-0.3
2024-06-25,57.95000076293945,58.900001525878906,57.79999923706055,58.75,1122137,0.0,0.0,0.0,59.9,42.08,2.78,3.1,1.99
2024-06-26,59.09999847412109,59.84999847412109,59.04999923706055,59.650001525878906,1455105,0.0,0.0,0.0,71.82,51.99,3.2,4.36,3.44
2024-06-27,59.09999847412109,59.29999923706055,58.900001525878906,59.150001525878906,538041,0.0,0.0,0.0,76.14,60.04,1.44,3.12,2.44
2024-06-28,59.95000076293945,60.5,59.70000076293945,59.79999923706055,894320,0.0,0.0,0.0,79.18,66.42,1.44,3.83,3.28
2024-07-01,60.45000076293945,60.650001525878906,60.34999847412109,60.400001525878906,522166,0.0,0.0,0.0,84.42,72.42,1.43,3.99,4.14
2024-07-02,61.09999847412109,62.09999847412109,61.04999923706055,61.900001525878906,2287531,0.0,0.0,0.0,88.56,77.8,2.86,5.51,6.52
2024-07-03,62.45000076293945,62.59999847412109,61.84999847412109,62.59999847412109,1665502,0.0,0.0,0.0,92.38,82.66,3.01,5.59,7.42
2024-07-04,63.20000076293945,63.95000076293945,63.09999847412109,63.79999923706055,934020,0.0,0.0,0.0,94.25,86.52,3.4,6.32,8.89
2024-07-05,63.59999847412109,63.84999847412109,63.0,63.09999847412109,649032,0.0,0.0,0.0,91.56,88.2,1.19,4.03,7.23
2024-07-08,62.650001525878906,63.45000076293945,62.45000076293945,62.75,730294,0.0,0.0,0.0,86.45,87.62,-0.13,2.55,6.18
2024-07-09,62.79999923706055,64.25,62.70000076293945,64.25,1387046,0.0,0.0,0.0,90.97,88.73,1.5,4.07,8.23
2024-07-10,64.0999984741211,64.3499984741211,63.29999923706055,64.05000305175781,716002,0.0,0.0,0.0,91.83,89.77,0.72,3.01,7.34
2024-07-11,64.94999694824219,65.6500015258789,64.94999694824219,65.6500015258789,693999,0.0,0.0,0.0,94.55,91.36,2.64,4.49,9.24
2024-07-12,63.45000076293945,64.19999694824219,63.45000076293945,63.5,1142453,0.0,0.0,0.0,80.79,87.84,-0.84,0.47,5.14
2024-07-15,64.0,64.0999984741211,63.70000076293945,63.75,570018,0.0,0.0,0.0,70.53,82.07,-0.76,0.34,4.83
2024-07-16,64.44999694824219,64.80000305175781,64.19999694824219,64.4000015258789,623000,0.0,0.0,0.0,67.33,77.15,0.2,0.96,5.18
2024-07-17,64.8499984741211,65.1500015258789,64.44999694824219,64.5999984741211,340079,0.0,0.0,0.0,67.28,73.86,0.34,0.96,4.81
2024-07-18,63.400001525878906,63.650001525878906,63.0,63.0,987104,0.0,0.0,0.0,50.58,66.1,-1.33,-1.42,1.69
2024-07-19,62.70000076293945,62.70000076293945,61.54999923706055,62.09999847412109,588257,0.0,0.0,0.0,38.19,56.8,-2.31,-2.67,-0.21
2024-07-22,60.84999847412109,61.25,60.650001525878906,60.75,950049,0.0,0.0,0.0,26.13,46.58,-3.53,-4.49,-2.64
2024-07-23,61.150001525878906,61.59999847412109,60.5,61.09999847412109,1011016,0.0,0.0,0.0,21.3,38.15,-1.94,-3.46,-2.26
2024-07-26,57.34999847412109,57.34999847412109,55.79999923706055,56.150001525878906,2420167,0.0,0.0,0.0,15.45,30.58,-7.37,-10.16,-9.93
2024-07-29,57.70000076293945,58.0,57.09999847412109,57.59999847412109,976027,0.0,0.0,0.0,16.72,25.96,-3.26,-6.64,-7.49
2024-07-30,57.29999923706055,57.34999847412109,56.59999847412109,57.29999923706055,335018,0.0,0.0,0.0,16.49,22.81,-2.19,-6.18,-7.79
2024-07-31,57.04999923706055,58.25,56.84999847412109,58.04999923706055,633685,0.0,0.0,0.0,19.02,21.54,0.02,-4.06,-6.4
2024-08-01,56.0,56.0,54.650001525878906,55.5,2290222,0.0,0.0,0.0,15.83,19.64,-2.49,-6.9,-10.05
2024-08-02,50.400001525878906,51.09999847412109,49.15999984741211,49.20000076293945,4538149,0.0,0.0,0.0,10.65,16.64,-11.4,-15.28,-19.38
2024-08-05,43.09999847412109,43.09999847412109,37.060001373291016,37.060001373291016,8377293,0.0,0.0,0.0,7.1,13.46,-27.93,-33.2,-37.92
2024-08-06,42.25,42.97999954223633,40.4900016784668,41.22999954223633,5672895,0.0,0.0,0.0,10.4,12.44,-14.47,-22.78,-29.64
2024-08-07,42.27000045776367,46.0,42.20000076293945,46.0,4724195,0.0,0.0,0.0,20.99,15.29,0.44,-11.4,-20.36
2024-08-08,43.25,44.97999954223633,43.25,43.7400016784668,2558296,0.0,0.0,0.0,24.5,18.36,0.68,-12.84,-22.91
2024-08-09,44.72999954223633,44.97999954223633,42.810001373291016,43.83000183105469,3164536,0.0,0.0,0.0,26.99,21.24,3.44,-10.46,-21.35
2024-08-12,44.040000915527344,44.63999938964844,43.91999816894531,44.63999938964844,981020,0.0,0.0,0.0,29.91,24.13,1.71,-6.33,-18.35
2024-08-13,45.97999954223633,46.15999984741211,45.54999923706055,46.0,1376109,0.0,0.0,0.0,35.68,27.98,2.58,-1.13,-14.5
2024-08-14,47.25,48.18000030517578,46.880001068115234,47.119998931884766,1956032,0.0,0.0,0.0,47.67,34.54,4.56,3.72,-11.04
2024-08-15,48.38999938964844,48.83000183105469,47.970001220703125,48.09000015258789,1404030,0.0,0.0,0.0,63.02,44.03,4.69,7.61,-7.79
2024-08-16,49.709999084472656,50.650001525878906,49.709999084472656,50.650001525878906,1585350,0.0,0.0,0.0,75.34,54.47,7.08,12.97,-1.57
2024-08-19,50.75,51.0,49.61000061035156,49.65999984741211,1616897,0.0,0.0,0.0,78.49,62.48,2.81,7.73,-2.22
2024-08-20,50.5,51.20000076293945,50.150001525878906,50.84999847412109,1523000,0.0,0.0,0.0,84.27,69.74,3.2,8.06,1.24
2024-08-21,50.29999923706055,50.5,49.810001373291016,50.29999923706055,1188020,0.0,0.0,0.0,85.94,75.14,0.78,5.92,1.2
2024-08-22,50.59999847412109,50.84999847412109,50.09999847412109,50.400001525878906,1113021,0.0,0.0,0.0,86.96,79.08,0.06,4.66,2.5
2024-08-23,50.70000076293945,51.25,50.34999847412109,51.09999847412109,1099000,0.0,0.0,0.0,90.43,82.86,1.26,4.54,4.46
2024-08-26,50.29999923706055,50.400001525878906,50.0,50.150001525878906,1248000,0.0,0.0,0.0,85.23,83.65,-0.81,1.45,3.31
2024-08-27,50.54999923706055,50.95000076293945,50.5,50.75,577050,0.0,0.0,0.0,85.07,84.13,0.42,1.69,5.26
2024-08-28,50.79999923706055,51.29999923706055,50.79999923706055,51.25,381050,0.0,0.0,0.0,89.06,85.77,1.03,1.85,7.05
2024-08-29,51.25,51.5,51.09999847412109,51.34999847412109,446000,0.0,0.0,0.0,90.06,87.2,0.84,1.39,7.72
2024-08-30,52.0,52.20000076293945,51.79999923706055,51.84999847412109,593100,0.0,0.0,0.0,88.49,87.63,1.53,2.14,8.47
2024-09-02,52.59999847412109,52.75,51.79999923706055,52.20000076293945,564076,0.0,0.0,0.0,86.09,87.12,1.4,2.31,7.5
2024-09-03,53.150001525878906,53.25,52.59999847412109,52.70000076293945,694000,0.0,0.0,0.0,85.09,86.44,1.6,2.92,7.26
2024-09-04,49.52000045776367,50.25,48.79999923706055,49.18999862670898,2334095,0.0,0.0,0.0,59.65,77.51,-4.41,-3.73,-0.2
2024-09-05,49.220001220703125,49.97999954223633,48.29999923706055,48.66999816894531,1740020,0.0,0.0,0.0,42.26,65.76,-4.42,-4.42,-1.75
2024-09-06,48.209999084472656,48.58000183105469,47.66999816894531,47.66999816894531,974000,0.0,0.0,0.0,28.17,53.23,-4.82,-5.75,-4.14
2024-09-09,45.54999923706055,47.310001373291016,45.47999954223633,47.060001373291016,1074000,0.0,0.0,0.0,25.56,44.01,-4.07,-6.38,-5.6
2024-09-10,47.66999816894531,48.040000915527344,47.209999084472656,47.56999969482422,877160,0.0,0.0,0.0,26.01,38.01,-0.96,-4.77,-4.72
2024-09-11,46.34000015258789,46.68000030517578,44.63999938964844,44.63999938964844,1688750,0.0,0.0,0.0,17.34,31.12,-5.27,-9.43,-10.37
2024-09-12,47.290000915527344,47.58000183105469,46.880001068115234,47.58000183105469,1398000,0.0,0.0,0.0,22.94,28.39,1.44,-2.73,-4.42
2024-09-13,47.040000915527344,47.20000076293945,46.54999923706055,46.97999954223633,915733,0.0,0.0,0.0,24.35,27.04,0.46,-2.99,-5.27
2024-09-16,46.709999084472656,46.709999084472656,46.400001525878906,46.459999084472656,696033,0.0,0.0,0.0,27.05,27.05,-0.4,-2.91,-6.02
2024-09-18,46.59000015258789,46.880001068115234,45.84999847412109,46.18000030517578,737050,0.0,0.0,0.0,27.65,27.25,-0.41,-2.16,-6.14
2024-09-19,47.970001220703125,48.93000030517578,47.970001220703125,48.720001220703125,1791176,0.0,0.0,0.0,50.13,34.87,3.26,3.32,-0.82
2024-09-20,49.720001220703125,49.959999084472656,49.5,49.59999847412109,1094521,0.0,0.0,0.0,64.5,44.75,4.23,4.98,1.05
2024-09-23,50.45000076293945,51.400001525878906,50.45000076293945,51.0,1124062,0.0,0.0,0.0,74.36,54.62,5.39,7.19,3.92
2024-09-24,50.34999847412109,50.650001525878906,49.83000183105469,50.150001525878906,1068160,0.0,0.0,0.0,76.74,61.99,2.08,4.72,2.18
2024-09-25,49.630001068115234,50.09999847412109,49.59999847412109,50.0,815191,0.0,0.0,0.0,76.09,66.69,0.21,3.88,1.96
2024-09-26,50.900001525878906,51.650001525878906,50.84999847412109,51.59999847412109,1206042,0.0,0.0,0.0,83.77,72.38,2.24,5.68,5.18
2024-09-27,52.70000076293945,53.79999923706055,51.75,53.54999923706055,1812493,0.0,0.0,0.0,88.13,77.63,4.47,8.35,8.91
2024-09-30,50.20000076293945,51.0,49.97999954223633,50.20000076293945,2311165,0.0,0.0,0.0,76.99,77.42,-1.76,0.91,2.27
2024-10-01,51.400001525878906,51.95000076293945,51.20000076293945,51.75,2035228,0.0,0.0,0.0,72.94,75.93,0.64,2.93,5.48
2024-10-04,51.650001525878906,52.20000076293945,51.5,51.84999847412109,1446159,0.0,0.0,0.0,66.84,72.9,0.12,1.98,5.77
2024-10-07,53.59999847412109,54.0,53.5,54.0,955076,0.0,0.0,0.0,77.9,74.57,3.31,5.12,9.62
2024-10-08,52.45000076293945,52.59999847412109,51.54999923706055,51.900001525878906,673517,0.0,0.0,0.0,69.36,72.83,-0.08,0.58,5.01
2024-10-09,52.54999923706055,52.650001525878906,51.95000076293945,52.400001525878906,593000,0.0,0.0,0.0,67.45,71.04,0.04,1.28,5.52
2024-10-11,52.79999923706055,53.0,52.34999847412109,52.34999847412109,646060,0.0,0.0,0.0,64.62,68.9,-0.29,0.75,4.86
2024-10-14,52.59999847412109,53.0,52.5,52.79999923706055,407033,0.0,0.0,0.0,66.46,68.08,0.21,1.07,5.21
2024-10-15,53.20000076293945,53.59999847412109,53.09999847412109,53.25,331209,0.0,0.0,0.0,71.42,69.2,1.35,1.61,5.2
2024-10-16,52.34999847412109,52.34999847412109,51.54999923706055,51.70000076293945,738040,0.0,0.0,0.0,53.57,63.99,-1.52,-1.0,1.73
2024-10-17,52.09999847412109,52.09999847412109,51.29999923706055,51.54999923706055,225000,0.0,0.0,0.0,38.8,55.59,-1.49,-1.54,0.98
2024-10-18,51.79999923706055,51.95000076293945,51.45000076293945,51.59999847412109,350000,0.0,0.0,0.0,29.57,46.92,-1.11,-1.41,0.57
2024-10-21,51.59999847412109,51.650001525878906,51.25,51.29999923706055,475000,0.0,0.0,0.0,20.42,38.09,-1.12,-1.88,-0.51
2024-10-22,50.79999923706055,50.79999923706055,49.59999847412109,50.29999923706055,1003144,0.0,0.0,0.0,19.45,31.87,-1.93,-3.11,-2.6
2024-10-23,50.45000076293945,50.5,49.45000076293945,49.810001373291016,565027,0.0,0.0,0.0,15.86,26.53,-2.16,-3.67,-3.57
2024-10-24,49.810001373291016,49.81999969482422,49.31999969482422,49.5099983215332,554000,0.0,0.0,0.0,12.05,21.71,-1.97,-3.71,-4.01
2024-10-25,48.68999862670898,48.95000076293945,48.5099983215332,48.84999847412109,899302,0.0,0.0,0.0,10.26,17.89,-2.21,-4.34,-5.17
2024-10-28,50.150001525878906,50.650001525878906,49.95000076293945,50.5,1019150,0.0,0.0,0.0,24.11,19.97,1.42,-0.66,-2.01
2024-10-29,50.75,51.34999847412109,50.70000076293945,51.25,1322058,0.0,0.0,0.0,41.52,27.15,2.53,1.21,-0.53
2024-10-30,51.75,52.54999923706055,51.75,52.150001525878906,544000,0.0,0.0,0.0,57.71,37.34,3.37,2.9,1.36
2024-11-01,50.59999847412109,50.59999847412109,49.970001220703125,50.04999923706055,1163040,0.0,0.0,0.0,51.18,41.95,-1.01,-0.95,-2.71
2024-11-04,50.400001525878906,50.900001525878906,50.400001525878906,50.900001525878906,714000,0.0,0.0,0.0,53.84,45.91,-0.14,0.87,-0.97
2024-11-05,50.400001525878906,50.79999923706055,50.34999847412109,50.75,583019,0.0,0.0,0.0,54.38,48.73,-0.53,0.68,-1.16
